Tag,Content
NoBondage,(Sie schubst dich zurück.)|Was machst du da? Wir sollen malen.
CropForInfo,"(Du schlägst mit der Gerte zu.) Au! Mal überlegen.|Erwähne Sandro Botticellis ""Die Geburt der Venus""."
RefuseBondage,(Sie schubst dich zurück und starrt dich an.)|Oh nein! Du wirst mich nicht fesseln.
Bondage,"(Sie versucht dich aufzuhalten, aber du|bist stärker und fesselst ihren Oberkörper.)"
NoGag,(Sie drängt deine Hand zurück.) Oh nein!
BallGag,(Sie presst die Lippen zusammen und du|drückst den Ball mit Gewalt in ihren Mund.)
TapeGag,"(Sie schüttelt hastig den Kopf hin und her,|bevor du ihr den Mund zukleben kannst.)"
Crop,(Du schlägst sie ein paar Mal mit der Gerte.|Sie schreit und weint vor Schmerz.)
VibratingEggWarning,"(Das Ei könnte verloren gehen, wenn du es|in Jennifer einsetzt. Klicke erneut, um es zu tun.)"
VibratingEggInsert,"(Jennifer sieht das Ei und versucht ihm zu entgehen,|aber du führst es ein. Sie zittert jetzt gelegentlich.)"
GaggedKiss,"(Du versuchst sie mit deinem Knebel zu küssen,|aber es entsteht nur eine peinliche Situation.)"
TightenGagged,"(Du ziehst ihre Knoten enger, während|sie sich wehrt, sie sieht sehr nervös aus.)"
Tighten,Aaargh! Vorsicht!|(Sie sieht sehr nervös aus.)
TightenFail,"(Du versuchst Jennifer enger zu fesseln, aber es|misslingt dir und die anderen Schülerinnen lachen..)"
Tickle,(Du kitzelst sie vor der ganzen Klasse.|Sie kauert beschämt und versucht dich zu treten.)
TickleFail,(Du kitzelst sie mit etwas Mühe.|Sie kauert beschämt und versucht dich zu treten.)
EarnTrust,Dann vertraue ich dir mal.|Das alles macht mich so nervös.
EggComment,A-a-aber... I-ich... Okay.|(Sie senkt den Kopf.)
PlayerUntie,"(Sie wird rot und geht dich losbinden.)|Bitteschön, meine Beste, das war sicher erniedrigend."
PlayerStayTied,"(Sie ist zu nervös, um dir zu Hilfe zu kommen.)|(Du brauchst mind. 3 Liebe, damit sie dir hilft.)"
NoTimeToPaint,"(Die Zeit reicht nicht mehr,|um ein Kunstwerk zu schaffen.)"
