ItemSold,,,"Well done, another satisfied customer.  Here's your commission.  (She gives you MoneyAmount$.)",,
ItemNotSold,,,"Too bad, the customer left.",,
PlayerGagged,,,This is the only store in town that receives gagged customers.,,
ItemMouth,,,(She shakes her head no but you're able to gag and silence her.),,
RemoveItemMouth,,,"(You remove her gag and she thanks you.)  Thanks a lot, my job requires me to speak.",,
ItemEars,,,(You push some earplugs into place.) How am i going to hear the customers now?.,,
RemoveItemEars,,,(You pull the earplugs out.) Thank you i can hear you clearly again.,,
ItemArms,,,(She grumbles but complies as you restrain her arms.)  What about the store?,,
RemoveItemArms,,,(You free her arms and she gives you a thumbs up.)  The club thanks you Miss.,,
ItemHands,,,(She grumbles a little but soon complies as you start restraining her hands.)  What about the store Miss?,,
RemoveItemHands,,,(You release her hands.)  The club thanks you Miss,,
ItemLegs,,,(She looks down as you restrain her legs securely.)  I'm not going out anyway.,,
RemoveItemLegs,,,(You release her legs and she nods.)  Don't you want to buy something?,,
ItemFeet,,,(She giggles as you restrain her feet.)  That's why they call it a fixed job.,,
RemoveItemFeet,,,(You release her feet and she stretches them.)  I have the best customers in town.,,
ItemNeck,,,(She struggles as you strap the collar around her neck.)  I'm not looking for an owner.,,
RemoveItemNeck,,,(You remove the collar from her neck.)  Yes!  This is much better.,,
ItemPelvis,,,(You snap the belt around her waist while she sighs.)  Damn it.  I can't sell anymore keys for these.,,
RemoveItemPelvis,,,"(You unlock the belt from her waist, and she smiles.)  I owe you one.",,
ItemHead,,,(You strap the device on her head as she complains.)  The store!  Think about the store!,,
RemoveItemHead,,,(You remove the device and she looks relived.)  Thanks.  Nothing was stolen?,,
ItemBreastLeatherWhip,,,(She whimpers as you whip her breast.)  Ouch!  You're whipping too hard.,,
ItemBreastLeatherCrop,,,(You swing the crop on her torso as she grumbles.)  That's what they call trying the merchandise.,,
ItemPelvisLeatherWhip,,,(You whip her butt as she whimpers.)  Oooww.  Are you a satisfied customer?,,
ItemPelvisLeatherCrop,,,(You lash the leather crop pretty hard on her butt.)  Damn it!  I need a better job.,,
0,,,Greetings Mistress DialogPlayerName.  What are you looking for today?,,"DialogLogQuery(""ClubMistress"", ""Management"")"
0,,,(She looks at you and giggles.)  Are you looking for some clothes?,,Player.IsNaked()
0,,,Welcome to the Bondage Club store.  How can I help you today?,,
0,90,I'd like to buy something.,Of course! What are you looking for?,SetBuyMode(),
0,90,I want to return something I bought.,"Sure! You can sell back anything for half of the original price. What kind of item is it?",SetSellMode(),
0,,Can you show me everything that I don't have?,,SelectAssetMissing(),
