PlayerGagged,,,This is the only store in town that receives gagged customers.,,
0,,,Welcome to the Bondage Club store.  What are you looking for today?,,
0,100,I'm looking for clothes and accessories.,"Of course, what kind of clothes?",,
0,110,I'm looking for underwear.,"Absolutely, what kind of underwear?",,
0,200,I'm looking for kinky items for the head.,Excellent!  For which body part exactly?,,
0,210,I'm looking for kinky items for the body or arms.,Excellent!  For which body part exactly?,,
0,220,I'm looking for kinky items for the legs.,Excellent!  For which body part exactly?,,
0,10,I'd like to ask you some questions.,Don't be shy.  How can I help you?,,
0,,Can you help me out?,I'm not allowed to release you.  But I can help you to shop and pay.  I will be honest.,,!Player.CanInteract()
0,,I need to run.  (Leave her.),,DialogLeave(),
10,,,You have some questions for me?,,
10,,What are you selling?,"Look around, there are clothes of all kinds and lots of BDSM gear.",,
10,,Who owns this store?,It belongs to the Bondage Club.  All profits go back to the organization.,,
10,,Can I tie you up?,"Don't be silly, I'm running the store.",,
10,,Will you restrain me?,Maybe later after my shift.,,
10,0,I don't have any more questions.,"Alright, would you like to buy something then?",,
100,,Regular clothes or outfits.,,"Start(""Cloth"")",
100,,Hats or head accessories.,,"Start(""Hat"")",
100,,Do you have glasses?,,"Start(""Glasses"")",
100,,Show me your gloves.,,"Start(""Gloves"")",
100,,Maybe some shoes.,,"Start(""Shoes"")",
100,0,I've changed my mind.,Can I help you with something else?,,
110,,Can I see your bras?,,"Start(""Bra"")",
110,,Maybe some panties.,,"Start(""Panties"")",
110,,Do you sell socks?,,"Start(""Socks"")",
110,0,I've changed my mind.,Can I help you with something else?,,
200,,Can I see your hoods and blindfolds?,,"Start(""ItemHead"")",
200,,I'm looking for gags.,,"Start(""ItemMouth"")",
200,,What about collars?,,"Start(""ItemNeck"")",
200,0,I've changed my mind.,Can I help you with something else?,,
210,,What about collars?,,"Start(""ItemNeck"")",
210,,Show me your arm restraints.,,"Start(""ItemArms"")",
210,,Something for the breast or torso.,,"Start(""ItemTorso"")",
210,,A kinky item for the kinky region.,,"Start(""ItemPelvis"")",
210,0,I've changed my mind.,Can I help you with something else?,,
220,,A kinky item for the kinky region.,,"Start(""ItemPelvis"")",
220,,Something to restrain the legs.,,"Start(""ItemLegs"")",
220,,What do you have for feet?,,"Start(""ItemFeet"")",
220,0,I've changed my mind.,Can I help you with something else?,,
