Tag,Content
HeatherGivenAway,"Na dann viel Spaß. (Lucy winkt zum Abschied,|als du ihre Schwester davonschleifst.)"
TwinUngag,"(Du knebelst sie, aber sie nimmt ihn einfach ab.)|Ich hasse es, geknebelt zu sein."
TwinUnblindfold,"(Du legst ihr die Augenbinde an, aber sie nimmt sie|einfach ab.) Das ist auch so schon schlimm genug."
TooSubmissive,"(Sie unterbricht dich.) Oh nein, das tust du nicht,|dafür bist du viel zu unterwürfig."
GetSomeItems,"Du hast nicht viel bei dir,|und ich komme so an nichts heran."
CuffsNeedKey,"(Du brauchst einen Schlüssel,|um ihre Handschellen zu öffnen.)"
NoManacleKey,(Ihre Arme stecken in den Ketten fest und|ohne Schlüssel gibt es kein Entkommen.)
RopeHow,(Wie wirst du sie fesseln?)
UntieLegsFirst,"(Sie muss sich hinknien, damit du ihre|Beine anketten kannst. Binde diese erst los.)"
SquirmCrotchRope,"(Du fesselst sie und sie fängt an, sich zu winden.)|Auuu, du hast das Schrittseil ziemlich eng gebunden."
CanRestrainMe,Ich schätze schon. Ich kann ja kaum|losrennen und etwas anderes tun.
SufferNoFools,"Hör auf, herumzualbern.|(Sie packt dich und wühlt durch deine Sachen.)"
ShameNoItems,"Hör auf, herumzualbern.|Es ist schade, dass du nichts Brauchbares dabei hast."
NotDoneYet,Ich bin noch nicht fertig mit dir.|(Sie schaut wieder deine Sachen durch.)
JustChastityBelt,(Sie nimmt einen Keuschheitsgürtel|und schließt ihn dir um.)
JustVibratingEgg,(Sie nimmt ein vibrierendes Ei|und steckt es in deine Vagina.)
NoItem,"Nein, das setzt du nicht an mir ein.|(Sie wehrt dich ab.)"
NotChastable,"(Du kannst ihr den Keuschheitsgürtel nicht anlegen,|wenn ihre Beine zusammengebunden sind.)"
FitChastityBelt,"(Du legst ihr den Keuschheitsgürtel fest an.|Sie seufzt, als er einrastet.)"
FitVibratingEgg,"(Sie windet sich ungemütlich,|als du das Ei in sie hineinsteckst.)"
NoSkirtRemove,"Hey, lass das. (Sie wehrt dich ab und hindert|dich daran, ihren Rock herunterzuziehen.)"
SkirtPulled,(Die Ketten lassen dich ihren Rock nicht entfernen.|Du kannst ihn nur bis zu ihren Knien herunterziehen.)
NoUniformRemove,"Hey, lass das. (Sie wehrt dich ab und hindert|dich daran, ihr die Uniform auszuziehen.)"
RemovingUniform,(Sie lässt sich widerwillig ihre Uniform ausziehen.)
UnableToHelp,(Sie zuckt mit den Schultern und|schaut auf ihre eigenen Fesseln herab.)
SorryNoHelp,"Tut mir leid, ich bin so auch|nicht wirklich zu gebrauchen."
ManaclesNoHelp,"Sorry, jetzt stecken wir wohl|beide in diesen Ketten fest."
WillHelp,"Okay, willst du diese Fesseln loswerden?"
JustAddedBondage,"Nein, du hast gerade erst darum gebeten.|Du kannst ruhig eine Weile so bleiben."
WillTellMore,"Okay, du musst aber versprechen,|das sonst niemandem zu erzählen."
NoKeys,"Tut mir leid, ich habe keine Schlüssel dafür."
NoKeysRemoveGag,Ich habe keine Schlüssel dafür.|Aber ich kann dir wenigstens mit dem Knebel helfen.
FitRandomGag,"(Sie schaut deine Sachen durch und sucht einen|Knebel für dich aus.) So, jetzt bist du schön ruhig."
HeatherRevenge,(Sie schaut wieder deine Sachen durch.)|Tatsächlich kann ich dir helfen.
ShutUpAlready,"Du bist so nervtötend, das sollte dich ruhig stellen.|(Sie setzt einen deiner eigenen Knebel gegen dich ein.)"
FindKeysAlready,"(Sie packt dich, gibt dir einen starken Klaps und schubst|dich weg.) Hol die Schlüssel für diese Ketten, SOFORT."
KissBound,"(Du gibst ihr einen Kuss, aber sie reagiert nicht und|du hörst auf.) Das beruht nicht auf Gegenseitigkeit."
TickleBoundLegsFree,"(Sie kichert und krümmt sich, dann gibt sie dir|einen Tritt.) Nein, nicht. Lass mich in Ruhe."
TickleBound,"(Sie kichert und krümmt sich hilflos.)|Aufhören, bitte aufhören."
TickleBound2,Nha-na-ha-ha-he-he-n-nein-bi-bi-bitte-hör-ahe-ha|-he-he-ha-aah-bi-bitte-gnade-GNADE!
TickleBound3,"(Sie lacht und kichert lauthals,|krümmt sich und fleht dich an, aufzuhören.)"
TickleGaggedLegsFree,"(Sie krümmt sich, während der Knebel ihr Gekicher|dämpft, aber dann gibt sie dir einen kräftigen Tritt.)"
TickleGagged,"(Der Knebel dämpft ihr Kichern und|Flehen, als sie sich hilflos krümmt.)"
TickleGagged2,"(Der Knebel dämpft ihr Kichern und Flehen, als sie|sich hilflos krümmt.) Hhb bhtth Gnhdh, GNHDH!"
TickleGagged3,(Der Knebel kann ihr hilfloses Lachen und Kichern kaum|unterdrücken. Sie krümmt sich und fleht um Gnade.)
SpankBound,Autsch. Was sollte das denn?
SpankGagged,Hmmm! Whs shllth dhs dhnn?
BreastsBound,"Lass das. (Sie versucht sich herauszuwinden,|als du ihre Brüste fühlst und ihre Nippel streifst.)"
BreastsGagged,"(Sie wimmert und versucht sich herauszuwinden,|als du ihre Brüste fühlst und ihre Nippel streifst.)"
MasturbateBound,"Aaaaaah, l-lass d-das, SOFORT!"
MasturbateGagged,"(Der Knebel unterdrückt ihr wütendes Stöhnen,|während sie wild den Kopf schüttelt.)"
HelplessPleasure1,"(Sie versucht sich zu beherrschen,|schaudert aber bei deiner Berührung.)"
HelplessPleasure2,"(Sie versucht, ruhig zu atmen, kann aber nicht anders,|als sich in deinem Rhythmus zu winden.)"
HelplessPleasure3,(Sie kann dir nicht länger widerstehen|und erreicht einen stillen Orgasmus.)
