PlayerGagged,,,It's strange to hear a gagged nurse.,,
TherapyVictory,,,That was a good therapy nurse DialogPlayerName.  I've learned from it.,,
TherapyDefeat,,,I'm sorry nurse DialogPlayerName.  I don't think this is working.,,
0,,,Oh my!  The famous doctor DialogPlayerName.  It's an honor.,,"DialogReputationGreater(""Asylum"", 100)"
0,,,Hello nurse PlayerName.  I've heard about you.,,"DialogReputationGreater(""Asylum"", 50)"
0,,,Hello nurse.  Are you here for my treatment?,,
0,,Who are you?,I'm patient DialogCharacterName.  I'm here for my therapy.,,
0,,(Struggle in your restraints.),This is so weird.  I don't think I'm allowed to help you.,,Player.IsRestrained()
0,10,It's time for your treatment.,I'm ready nurse DialogPlayerName.  What are we focusing on today?,,!Player.IsRestrained()
0,,I must go.  (Leave her.),,DialogLeave(),
10,100,You will do a pain therapy.,"Oh my!  (She looks scared.)  Very well, how do we begin?",,
10,200,You will do a tickle therapy.,"(She giggles and nods.)  Very well, how do we begin?",,
10,300,You will do an orgasm therapy.,It sounds fascinating.  (She winks a you.)  How do we begin?,,
10,0,Let me review your file first.,Of course nurse DialogPlayerName.,,
100,110,By getting naked.,Of course nurse DialogPlayerName.  (She strips down.),"DialogNaked(""CurrentCharacter"")",
100,110,Start by stripping.,Of course nurse DialogPlayerName.  (She strips down.),"DialogNaked(""CurrentCharacter"")",
110,120,"Get on your knees, hands behind your back.",(She seems nervous but complies.)  Yes.,PatientPainIntro(0),
110,120,"Kneel girl, and put your arms behind your back.",(She seems nervous but complies.)  Yes nurse DialogPlayerName.,PatientPainIntro(1),
110,120,Please get on your knees and gently put your arms back.,(She slowly complies and gets on her knees.),PatientPainIntro(-1),
120,1000,Don't move until the therapy is over.,I will try my best Miss.  Please don't be too harsh with me.,,
120,1000,You're not allowed to stand up for the full treatment.,I will try my best Miss.  Please don't be too harsh with me.,,
1000,,(Do an easy therapy for a lesser pay.),,"TherapyStart(""Easy"")",
1000,,(Do a regular therapy for a regular pay.),,"TherapyStart(""Normal"")",
1000,,(Do a tough therapy for a better pay.),,"TherapyStart(""Hard"")",
1100,,TO DO,TO DO,,
1200,,TO DO,TO DO,,
