Tag,Content
WarnKidnapper,"(As you grab her Amelia stops you.)|Kidnapping one of them is enough, the other stays here."
StopKidnapper,That's enough.|You can have a taste of your own medicine.
StoppingYou,"Fine, I will.|(She tightens her grip and forces you across the room.)"
ForceTied,Stop trying to argue. It doesn't suit you.|(Amelia forces you to strip and ties you up.)
YouTry,"I'm not trying that again,|but I think she might yield to you now."
WouldYourSisterShake,(She shakes her head.)
WouldYourSisterNod,(She nods her head.)
LucyUnties,Okay. Thanks for letting me practice on you.|(She unties your arms.)
LucyNotTieYou,That's okay.|Let me know when you are ready to try it.
AnnoyedUngag,"I suppose I can remove the gag, but only if you|are nice to me.  (She removes your gag.)"
AnnoyedNoUngag,I prefer you gagged.  The only thing I would remove|it for is to wash your mouth out with soap.
LucyHadEnough,That's it. The only problem is your attitude.  You|can stay like that for all I care.  (She leaves you hanging.)
StayRightThere,"Sorry I'm not into pleasuring girls, but I know someone|who might be.  (She walks off across the room.)"
CassiAppears,"(Lucy comes back with Cassi.)|Hello COMMON_PLAYERNAME, you look adorable like that."
NewGirlAppears,"(Lucy comes back with another girl, who squeals|excitedly.)  Eeeee, she is a cutie.   Hi I'm Cassi."
GagOption,"Let's see how big your mouth is.  Which will it be,|panties or a sock? (Lucy leaves Cassi and you to it.)"
CassiLegTieA,"(As you start wondering whether the panties was clean,|Cassi frog ties your legs.)"
CassiLegTieB,"(As you start wondering whether the sock was clean,|Cassi frog ties your legs.)"
CassiLegTieC,"(It is too late now, the tape holds the panties firmly|in your mouth.  Cassi frog ties your legs.)"
CassiLegTieD,"(It is too late now, the tape holds the sock firmly in|your mouth while Cassi frog ties your legs.)"
CassiLegTieE,(The combination of underwear and tape almost completely|mutes you while Cassi frog ties your legs.)
CassiLegTieF,(You ponder your predicament|while Cassi frog ties your legs.)
CassiCuffed,"No reason we can't both enjoy a bit of bondage.  (Cassi|handcuffs herself, then starts nuzzling your pussy.)"
CassiAnkleHold,(Cassi's firm grip holds your legs apart.)
CassiErratic,"(Cassi's struggling and oral teasing become irregular,|unable to pull her trapped head out.)"
CassiDespirate,(Cassi's struggling becomes more desperate.|She attempts erratically to please you with her tongue.)
CassiColapse,"(Cassi finally pulls free from your suffocating embrace|and collapses on the floor, gasping for breath.)"
CassiFinger,"(While still teasing your clitoris, Cassi plunges a|finger into your vagina and keeps easing it in and out.)"
GruntHelplessSock,"(Cassi keeps on licking steadily,|while you squirm and gag on the sock.)"
FingerInOut,(Cassi keeps teasing your clitoris and starts slowly|sliding her finger in and out of your vagina.)
FingerPressUp,"(Cassi keeps teasing your clitoris, finds your G spot|with her finger and then presses steadily against it"
FingerComeHither,"(Cassi keeps teasing your clitoris and with the finger|in your vagina, starts stroking your G spot.)"
