Tag,Content
NoBondage,"Was machst du da, neue Schülerin?|Leg das weg und nimm dir deinen Pinsel."
RopeJulia,(Du wickelst das Seil um ihren kurvigen Körper|und machst enge Knoten.) Das nenne ich Kunst!
RopePlayer,"Si! Zeit, die Seile zu benutzen.|(Sie ergreift deine Arme und schnürt dich fest ein.)"
RopeStripPlayer,"Si! Zeit, dich zu fesseln. (Sie zieht dich aus,|nimmt das Seil und schnürt dich fest ein.)"
BallGag,"(Sie schüttelt den Kopf, kann sich|aber nicht gegen den Ballknebel wehren.)"
TapeGag,"(Sie schüttelt den Kopf, kann sich|aber nicht gegen das Klebeband wehren.)"
Crop,(Du schlägst sie ein paar Mal mit der Gerte.|Sie scheint keine allzu großen Schmerzen zu spüren.)
VibratingEggWarning,"(Das Ei könnte verloren gehen, wenn du|es Julia einführst. Klicke erneut, um es zu tun.)"
VibratingEggInsert,"(Du ziehst am Seil und schiebst das Ei mühelos|hinein, sie scheint es gar nicht bemerkt zu haben.)"
NewModelAgree,"Gute Idee, eine schüchterne neue Schülerin wäre|ein gutes Modell. (Sie zieht dich am Arm nach vorne.)"
NewModelGagged,(Sie nickt und das neue Modell|nimmt seinen Platz ein.)
PlayerUndressGagged,(Sie nickt und du ziehst deine Uniform aus.)
PlayerStripGagged,(Sie nickt und du entkleidest dich ganz.)
FailUngag,"(Du versuchst Julia zu entknebeln, scheiterst aber|kläglich und die anderen Schülerinnen kichern.)"
FailUntie,"(Du versuchst Julia loszubinden, scheiterst aber|kläglich und die anderen Schülerinnen kichern.)"
TightenGagged,(Du ziehst die Knoten enger.) MMNRGN NOG!|(Sie scheint dem Schmerz standzuhalten.)
Tighten,"(Du ziehst die Knoten enger, während sie zappelt.)|Dio mio! Das ist sehr eng, neue Schülerin."
FailTighten,"(Du versuchst Julias Fesseln enger zu ziehen und|die anderen Schülerinnen kichern, als es dir misslingt.)"
Tickle,(Du kitzelst sie vor der ganzen Klasse.|Sie lacht lauthals und es scheint ihr zu gefallen.)
TickleRestrained,(Du kitzelst sie mit etwas Mühe.|Sie lacht lauthals und es scheint ihr zu gefallen.)
AskNewModelGagged,(Sie nickt und schaut sich um.)
PlayerUngag,"Oh! Warum bist du geknebelt, neue Schülerin?|(Sie befreit dich von deinem Knebel und lächelt.)"
PlayerStayGagged,"Jemand hat dich geknebelt? Süß! Kunst ist Chaos!|(Du brauchst mind. 3 Liebe, damit sie dir hilft.)"
JuliaRestrainedPlayerGagged,(Sie zerrt an ihren Seilen. Sie wird|dir wohl nicht großartig helfen können.)
GaggedSpeach,Eep ah hoze eew wuwii!
NoTimeToPaint,"(Es ist nicht mehr genug Zeit übrig,|um ein Kunstwerk zu schaffen.)"
CantPaintIfModel,"(Du kannst nicht malen,|während du Modell stehst.)"
