Tag,Content
GetEgg,"Gut, du kannst es wiederhaben.|(Sie gibt dir das Ei zurück.)"
SitTogether,Setz dich. (Sie klopft zweimal auf die|Couch und du setzt dich neben sie.)
CannottSitRestrained,Du solltest erstmal deine Fesseln loswerden.
GreatDate,Wir beide heute Abend auf einem Date?|Oh ja! Das wäre großartig.
NoTimeToDraw,(Dafür ist nicht mehr genug Zeit.)
JumpOffWorry,(Sie sieht den Gegenstand und springt auf.)|Moment! Was machst du da? Was ist das?
RefuseBondage,"(Sie sieht den Gegenstand und schubst dich weg.)|(Du brauchst +5 Dominanz, um das zu benutzen.)"
TurnTablesFromItem,"(Sie sieht den Gegenstand, überwältigt dich schnell|und fesselt dich mit deinen eigenen Sachen.)"
TurnTablesFromTalk,Ich hab 'ne bessere Idee. Geh doch auf ein Bondage-|Abenteuer. (Sie fesselt dich mit deinen Sachen.)
AcceptRelease,"Also gut, ich versuche dir zu helfen.|(Sie befreit dich so gut sie kann.)"
Crop,(Du schlägst sie ein paar Mal mit|der Gerte. Sie weint und wimmert.)
Collar,"(Du brauchst mind. +20 Dominanz und eine Zeremonie,|um einer Schülerin ein Halsband anzulegen.)"
Rope,"(Sie wirkt nervös, als du das Seil|sorgfältig um ihren nackten Körper wickelst.)"
TwoRopes,(Du nimmst ein zweites Seil und bindest|ihre Beine kniend zusammen.)
Armbinder,(Du stülpst ihr den Lederhandschuh|über die Arme und bindest ihn fest.)
Cuffs,"(Sie schaut unzufriedenen und zittert, als du|ihr hinter dem Rücken Handschellen anlegst.)"
BallGag,"(Sie kämpft und schmollt, aber du|schnallst ihr den Knebel um den Kopf.)"
TapeGag,"(Sie kämpft und schmollt, aber du|klebst ihr den Mund zu.)"
ClothGag,"(Sie kämpft und schmollt, aber du steckst ihr die|Füllung in den Mund und bindest den Knebel fest.)"
CuffsKey,"(Sie hält dir ihre Hände hin, damit|du sie einfacher befreien kannst.)"
VibratingEgg,"(Beim Anblick des Eis drückt sie die Beine|zusammen, aber du steckst es hinein.)"
ChastityBelt,"(Beim Anblick des Gürtels wird sie|panisch, aber du legst ihn ihr fest um.)"
MasturbateBelt,(Dein Befriedigungsversuch misslingt.|Du bekommst kaum einen Finger unter ihren Gürtel.)
MasturbateNoLove,"(Du befriedigst sie zügig hingebungsvoll,|aber sie kämpft schweigend mit ihren Fesseln.)"
MasturbateLove,(Du befriedigst sie zügig hingebungsvoll|und sie kann sich ihr Stöhnen nicht verkneifen.)
MasturbateOrgasm,(Sie verliert die Kontrolle und bekommt|einen enormen Orgasmus in der Bibliothek.)
GreatKiss,"(Sie bleibt vorerst kühl, aber dein verführerischer|Kuss hat sie überraschend erregt. Es hat ihr gefallen.)"
TestMakeLoveFail,"(Sie schüttelt den Kopf, springt|schnell von der Couch und geht.)"
StripRevealBelt,(Sie nickt und ihr zieht euch beide aus.|Sie bemerkt sofort deinen Keuschheitsgürtel.)
JenniferOralOrgasm,(Du spürst sie in Ekstase zittern. Sie schreit|lautlos und bekommt einen schönen Orgasmus.)
PlayerOralOrgasm,"(Auch ohne viel sexuelle Erfahrung führt dich|Jennifer durch Lecken zu einem süßen Orgasmus.)"
PleasureMeFirst,Nein. Ich will zuerst befriedigt werden.|(Sie drückt dich auf die Knie.)
JenniferIsDone,"Ach nein, mir genügt das. Mach ruhig weiter.|(Sie kniet weiterhin zwischen deinen Beinen.)"
SneakyEgg,"(Während sie nicht hinschaut, steckst du|heimlich ein vibrierendes Ei in ihre Vagina.)"
UnlockBeforeRelease,"(Sie nickt und zeigt dir ihre Handschellen,|damit du sie aufschließt.)"
AcceptStrip,"(Sie sieht nach, ob niemand in der Nähe ist, und|zieht sich langsam bis auf die Unterwäsche aus.)"
