Tag,Content,Content [1]
Crop,（你用鞭子抽了她几次。|她发出了疼痛的哭喊。）
BallGag,（她把嘴紧闭，你不得|不用力才能给她戴上口球。）
TapeGag,（她左右摇晃着脑袋|但你最终设法用胶带封住了她的嘴。）
VibratingEggWarning,（如果你把跳蛋放进詹妮弗身体|里，也许就没办法再拿出来了，再次点击以确定。）
VibratingEggInsert,（詹妮弗看见了跳蛋并尝试挣脱|但你还是把塞进去了。她现在时不时地抖动。）
ExplainMobile,战斗无非就是算好时间，抓住机会攻击。|（当打击图标到达横条时按键。）
CrotchRope,（你玩弄着她身上的绳子，她突然|开始拼命颤动，不断出汗并且呻吟起来。）
UngagPlayer,稍等一下，让我来帮你。|（她小心地拿掉了你的堵嘴物。）
ReleasePlayer,当然。让我来帮你。|（她给你松了绑，你穿上了衣服。）
GagPlayer,不！事实上正好相反。你|的话太多了。 （她堵上了你的嘴。）
PlayerOrgasmGagged,（她用力拉扯，使得你不断颤抖，迎来了无声的高潮。）|你为什么在发抖？如果没事就点点头。
PlayerOrgasm,（她用力拉扯，使得你不断颤抖，迎来了无声的高潮。）|你还好吗？你为什么抖成那样？
TrainFighting,"(You train pretty hard with Jennifer|and you've learned some fight moves.)"
TrainFightingNoTime,"(You don't have enough time left|to improve your fighting skills.)"
FindCollar,"(You find a strange collar in the|kimonos and training equipment.)"
