Tag,Content
GaggedAnswer1,Whhaam hmmaa am!
GaggedAnswer2,(She hums a gagged song and giggles.)
GaggedAnswer3,Nneeeeph ph!
GaggedAnswer4,(She makes silly gagged faces.)
GaggedAnswer5,(She bows her head and stays quiet.)
GaggedAnswer6,Mmhmm mm gngmmhm.
GaggedAnswer7,Oghm!
GaggedAnswer8,Uuumph nuuungn nu gnmn.|(She tries to talk but fails.)
UnrestrainFirst,Can you release me first?
UnchasteFirst,Can you unlock the belt first?
ReleasePlayer,I think I can help.|(She releases you.)
ReleasePlayerGagged,Nuuagn nalgn mhn.|(She releases you.)
CannotReleasePlayer,(She tugs playfully on her restrains and|shakes her head from left to right.)
CantFindRestrain,(She checks your items but doesn't seem to|find what she wants.)  We need to go shopping.
Crop,"(You whip her on the butt with your crop.)|Ow!  It stings pretty bad, I love it Miss."
CropFromMistress,"(You whip her on the butt with your crop.)|Ow!  It stings pretty bad Mistress, I love it."
CropWhileGagged,(You whip her on the butt with your crop|while she whimpers and moans of pleasure.)
RefuseBondage,(She pushes your item away and giggles.)|What do you think you're doing subbie girl?
RefuseBelt,(She sees the belt and struggles hard|to prevent you from locking it on her.)
TurnTables,(Sarah quickly turns the table and uses your|restrains on you.)  Ha!  That was unexpected.
AcceptChange,Sure!  What should I wear?
AcceptChangeFromLover,Yes sexy. What would you like to see?
AcceptChangeFromMistress,Of course Mistress.|What should I wear?
NoNeedToChange,(She twirls and laughs.)|That was quick!
Rope,(She giggles while you wrap the rope|around her body and do tight knots.)
TwoRopes,"(You pick a second rope and tie|her legs, forcing her to kneel.)"
ThreeRopes,"(Using a third rope, you tie her wrists to|her ankle.  Forcing her to raise her butt.)"
Armbinder,(She nods happily and quickly slides her arms|in the binder while you lace and strap it tight.)
Cuffs,"(She happily turns around and puts her|arms back, so you can cuff them securely.)"
BallGag,"(She opens wide, so you can easily|push the ball inside and strap the gag.)"
TapeGag,"(She closes her mouth firmly, so|you can easily tape it closed.)"
ClothGag,"(She opens wide, so you can shove|the wad inside easily and tie the gag.)"
CuffsKey,(She resists playfully but you're|able to grab her cuffs and unlock her.)
VibratingEgg,(She sees the egg and nods in agreement.|She position herself to help you push it in.)
ChastityBelt,(She shakes her head no and tries to resist|but you're able to lock the belt while she pouts.)
Collar,(You need +20 submission and a full|acceptance speech to collar her.)
CollarToEnslave,(You need a collar to enslave someone.)
AcceptCollar,Yes Miss.  I want to be your slave.|I will wear your collar with pride.
CannotActWhileRestrained,(She giggles and struggles|playfully in her restrains.)
CannotBeDoneWhileRestrained,(You cannot do it when you're restrained.)
NakedForBelt,(Sarah must be naked to|lock a chastity belt on her.)
SarahPleasureMastubate,"(Sarah pleasures you with her mouth while|masturbating herself, making you both shiver.)"
OrgasmFromSarahPleasure,(Sarah playfully slides her tongue inside of you.|Making you tremble and moan from a great orgasm.)
OrgasmFromSarahPleasureMastubate,(Sarah trusts her tongue inside quickly while|fingering herself and you both get an orgasm.)
PleasureFromSarahNoProgress,(Sarah struggles to pleasure you orally but|doesn't have the proper rhythm to be enjoyable.)
KissSarahGagged,(You kiss her gag while she giggles.)
KissSarahSeduction,(You kiss her slowly and passionately while|she closes her eyes and moans of pleasure.)
StartMasturbateSarah,"(You get closer to Sarah, grab her|crotch and start to masturbate her.)"
ReadyForOrgasm,(She shakes without control and screams.|She seems on the edge of a huge orgasm.)
MasturbateNotInTheMood,(You start to touch her but it's clear|that she's not in the mood for it.)
SpankWithStrength,"(Using all your strength, you spank her really|hard on the butt while she moans of pleasure.)"
ReleaseBeforeTalk,Can you help me first?
UnlockBeltBeforeSex,Can you unlock this wicked belt first?
StripForSecondRope,(You could use that second|rope if she had fewer clothes.)
AlreadyLoved,I don't.  I'm a free girl.|Someday I'll find love like you.
AlreadyLovedByAmanda,(She nods.)  I know you're dating Amanda.|Maybe someday I'll find someone like her.
AlreadyDatingAmanda,"You should know.  I'm dating Amanda.|Also known as ""cutest in ropes"" girlfriend."
AlreadyBrokeUp,We already tried it and it didn't work.|Let's talk about something else.
NoRestrainInCostume,(She needs to remove her|costume to use this item.)
AlreadyOwned,That's really sweet of you subbie girl.|But keep your praises for your owner.
ReleaseBeforeBondageClub,Yes!  It's time to go downtown.|Can you release me please?
ReleasePlayerForBondageClub,Yes!  (She releases you quickly.)|Are you ready to go now?
ReadyForBondageClub,Yes!  Are you ready to go now?
AmandaPreventDatingSarah,(Amanda joins the conversation.)|I must choose between you two?
RefuseSexForLover,"It would be really fun, but I can't.|This is my first day dating Amanda."
DoubleTickling,"(You tickle each other, but she|doesn't seem to enjoy it that much.)"
StillGroundedByOther,"You've been a naughty sub.  I won't help you.|(You need to wait, you're still grounded.)"
StillGroundedGagged,Uh nugnmam mmgnm am!|(She looks at you and giggles.)
