Tag,Content
Crop,"(Sie wimmert ein wenig, als du ihr auf den|Hintern schlägst, reagiert sonst aber kaum.)"
Rope,(Du wickelst das Seil um ihren kurvigen Körper.|Es scheint ihr ein wenig zu gefallen.)
TwoRopes,(Du nimmst ein zweites Seil und bindest|ihre Beine in eine kniende Position.)
Armbinder,(Ihre Arme passen nicht|in den kleinen Monohandschuh.)
Cuffs,"(Sie scheint die Handschellen nicht gutzuheißen,|aber du legst sie ihr hinter dem Rücken an.)"
BallGag,"(Sie wehrt sich ein bisschen, aber du|schnallst ihr den Knebel um den Kopf.)"
TapeGag,"(Sie wehrt sich ein bisschen,|aber du klebst ihren Mund zu.)"
ClothGag,"(Sie wehrt sich ein bisschen, aber du stopfst ihr|das Tuch in den Mund und bindest es fest.)"
CuffsKey,"(Sie hält dir ihre Hände hin, sodass|du sie mühelos befreien kannst.)"
VibratingEgg,"(Sie starrt dich an, als sie das Ei|sieht, aber du steckst es hinein.)"
CannotWearBelt,(Der Gürtel ist zu klein und passt Julia nicht.)
CannotWearCollar,(Du kannst Lehrern kein Halsband anlegen.)
RefuseBondage,(Julia sieht den Gegenstand und lehnt in ab.|Als Jungfrau brauchst du +5 Dominanz dafür.)
Orgasm,"(Sie schüttelt den Kopf, aber deine geübten Finger|geben ihr mitten auf der Bühne einen Orgasmus.)"
QueenTurnTables,Was machst du da? Ich bin die Königin! (Sie hält|dich fest und setzt deinen Gegenstand gegen dich ein.)
AcceptRelease,Ihr bedurft also Hilfe? Eure Königin wird helfen.|(Sie befreit dich von deinen Fesseln.)
