Tag,Content
FindItem,Du untersuchst den hölzernen Tresen und findest|eine Schachtel mit interessantem Inhalt.
TrainRopeMasteryNoTime,"Du hast vor deiner nächsten Stunde|nicht mehr genug Zeit, den Comic zu lesen."
CannotMasturbate,"Du versuchst einen Finger unter deinen|Gürtel zu stecken, aber ohne Erfolg."
Orgasm,Du stimulierst dich hingebungsvoll und|schüttelst dich mit einem stillen Orgasmus.
OrgasmEnough,"Du spielst an dir herum, aber du|bist nicht mehr wuschig."
OrgasmRepeat,"Als du masturbierst, springt das vibrierende Ei an|und erweckt das Verlangen nach noch einer Runde."
ClimbFindItem,Du kletterst wie ein Äffchen am Regal hoch|und findest etwas Interessantes.
StruggleBackFromHolde,Wie eine gelenkige Turnerin zwängst du|dich langsam aus dem Loch heraus.
NoMoreSweetGwendoline,"Du durchsuchst die Regale, aber|dein Magazin ist verschwunden."
FindKey,"Du untersuchst den Schreibtisch und findest|einen metallischen Schlüssel, den du einsteckst."
OpenKey,Du probierst den Schlüssel vom Schreibtisch|aus und er schließt die Tür auf.
OpenForce,Mit aller Kraft rammst du mit der Schulter|gegen die Tür und brichst das Schloss auf.
FindO,"Im Regal findest du ein anstößiges|französisches Buch namens ""L'Histoire d'O""."
FindCabinet,Du schaust in den Schrank|und findest ein Lederhalsband.
