Tag,Content
FindItem,Tu t'approches et fouilles le guichet en bois.|Tu y trouves une boîte contenant un objet intéressant.
TrainRopeMasteryNoTime,Tu n'as plus le temps d'étudier la bande dessinée.
CannotMasturbate,Tu essayes de glisser un doigt à l'intérieur mais|à cause de la ceinture tu échoues lamentablement.
Orgasm,"Tu te stimules avec amour et en trembles d'extase,|s'ensuit un orgasme silencieux."
OrgasmEnough,"Tu te touches, mais tu n'es plus excitée."
OrgasmRepeat,"Tu te touches à nouveau, l'oeuf vibrant se|met en marche et te donne de nouvelles envies."
ClimbFindItem,Tu escalades la structure comme un singe|et trouves un objet intéressant.
StruggleBackFromHolde,"Telle la souplesse d'une gymnaste,|tu parviens à te retirer lentement du trou."
NoMoreSweetGwendoline,Tu cherches dans les rayons|mais la bande dessinée n'est plus là.
FindKey,Tu fouilles le bureau et trouves une clé métallique.|Tu la caches dans ton sac.
OpenKey,"Tu essayes la clé que tu as trouvé dans le bureau,|elle déverrouille la porte."
OpenForce,"Tu rassembles tes forces et mets un violent|coup d'épaule dans la porte, la serrure cède."
FindO,"Dans l'une d'entres elles, tu mets la main sur|un livre coquin français appelé : ""Histoire d'O""."
FindCabinet,Tu fouilles dans les armoires en bois|et trouves un collier en cuir.
