Tag,Content
SurpriseAttack,（她毫无征兆地冲向你，强制你趴在桌子上并掀起你的裙子。）
BallGag,（你把口球推进她的嘴里然后扣上了带子，她含糊不清地抗议。）
UnlockWarning,（你确定你要解开她吗？|再点一遍钥匙来确认。）
Unlock,（你刚一解开她，她就牵制住你并把你|束缚了起来。）你拯救了你自己，小姐。
Rope,（你把绳子绕在她的身体上，将绳结打得很紧。做完这些后，你打开了她的手铐。）
Cuffs,（你解开了所有绳结重新把她铐上，她试图踢你但没有成功。）
Disturb1,（她扫了你一眼。）小姐，|在我上课的时候保持安静，我们下课再聊。
Disturb2,（她生气地看着你。）|小姐！你必须马上停止扰乱课堂！
Disturb3,（她看起来很愤怒。）这是最后的警告！|还有下次的话我就要把你拘束起来。
Disturb4,（她把你按住然后掀起你的裙子。）|小姐，今天你要好好学一学纪律。
SubdueAlone,（孤身一人，你没能制服她，然后她牵制住了你。）|小姐，今天你要好好学一学纪律。
SubdueSidney,（你和 Sidney 没能制服她，然后她牵制住了你们。）|小姐，今天你们要好好学一学纪律。
SubdueAmanda,（你和 Amanda 没能制服她，然后她牵制住了你们。）|小姐，今天你们要好好学一学纪律。
SubdueSarah,（你和 Sarah 没能制服她，然后她牵制住了你们。）|小姐，今天你们要好好学一学纪律。
SubdueSuccess,（与你的帮手一起，你们成功脱下了 Mildred 的衣服。|你从她的小东西里找到一副手铐锁在她的手腕上。）
