PlayerGagged,,,Isn't the sound of silence wonderful?  (She laughs at you.),,
YukiHadEnough,,,"Enough shit!  Since you can't behave, you'll spend detention restrained.",,
0,,,NOEXIT,,
0,,,(A small woman welcomes you coldly.)  Another one?  What's your story?  Why were you sent to detention?,,
0,,Who are you?,I'm teacher Yuki.  I monitor the detention room today.  Why are you here?,DialogRemove(),"!DialogLogQuery(""BondageCollege"", ""Import"")"
0,,Hello teacher Yuki.,Hello DialogPlayerName.  Why were you sent to detention today?,DialogRemove(),"DialogLogQuery(""BondageCollege"", ""Import"")"
0,10,I shouldn't be here.,"If a teacher sent you here, then you should be here.  What did you do wrong?",,
0,10,You're mistaken.,You've made the mistake by getting sent here.  What did you do wrong?,,
0,10,That's none of your business.,(She frowns.)  That's absolutely my business.  What did you do wrong?,YukiLoveChange(-1),
0,10,I'm sorry Miss.,You better be sorry.  What did you do wrong?,YukiLoveChange(1),
0,10,"Oops, wrong door.",Very funny young lady.  What did you do wrong?,,
0,10,I should go.  (Leave her.),(She stops you.)  You're not going anywhere young lady.  What did you do wrong?,YukiLoveChange(-1),
10,20,Fuck you bitch.,That answer is worth your detention.  You'll spend the rest of the day with me.,YukiLoveChange(-1),
10,20,I didn't do anything.,"I'll check with your teacher later.  Whatever you did, you'll spend the rest of the day with me.",,
10,20,I'm innocent!,"I'll check with your teacher later.  Whatever you did, you'll spend the rest of the day with me.",,
10,20,I've chatted in class.,"Bad girl, you know you shouldn't do that.  You'll spend the rest of the day with me.",YukiLoveChange(1),
10,20,I've texted in class.,"Bad girl, you know you shouldn't do that.  You'll spend the rest of the day with me.",YukiLoveChange(1),
10,20,I've slept in class.,"Bad girl, you know you shouldn't do that.  You'll spend the rest of the day with me.",YukiLoveChange(1),
10,20,I've watched porn in class.,"So you're a horny student aren't you?  Well, you'll spend the rest of the day with me.",YukiLoveChange(2),
10,20,I've masturbated in class.,"So you're a horny student aren't you?  Well, you'll spend the rest of the day with me.",YukiLoveChange(2),
20,30,Oh please!  Can we make a deal?,"(She smirks.)  Maybe later.  First, you'll write: ""I will be a good student."" thirty times on the board.",YukiLoveChange(1),
20,30,All day?  Really?,"Absolutely.  First, you'll write: ""I will be a good student."" thirty times on the board.",,
20,30,Teacher Yuki.  I will miss a class.,"You're the only one to blame.  First, you'll write: ""I will be a good student."" thirty times on the board.",,
20,30,I'll run as soon as I can.,"We have ways to prevent that.  First, you'll write: ""I will be a good student."" thirty times on the board.",YukiLoveChange(-1),
20,30,(Bow your head and nod.),"Good girl.  First, you'll write: ""I will be a good student."" thirty times on the board.",YukiLoveChange(1),
20,30,I don't care.,"(She frowns.)  First, you'll write: ""I will be a good student."" thirty times on the board.",YukiLoveChange(-1),
30,40,Are you nuts?,(She grumbles and points to the board.)  Shut-up and get a chalk.,YukiLoveChange(-1),
30,40,Yes teacher Yuki.,(She smiles and points to the board.)  Go get a chalk girl.,YukiLoveChange(1),
30,40,Can't I do some homework?,(She shakes her head no and points to the board.)  Get a chalk.,,
40,100,Fine.  (Get a chalk.),(She snaps her fingers.)  Start writing!  Thirty times.,,
40,100,A chalk board?  Don't you have computers?,(She gets mad and gives you a chalk.)  Start writing!  Thirty times.,YukiLoveChange(-1),
40,100,It's a fair punishment.  (Get a chalk.),(She nods and snaps her fingers.)  Start writing!  Thirty times.,YukiLoveChange(1),
100,,What's the phrase again?,"It's the last time I repeat.  You will write: ""I will be a good student."".",DialogRemove(),
100,110,"(Write: ""I will be a good student."".)",,,
100,110,"(Write: ""I will be a bad student."".)",(She gets mad.)  You think you're fucking funny?  You know what to write.,YukiLoveChange(-1),
100,110,"(Write: ""Fuck the teachers."".)",(She gets mad.)  You think you're fucking funny?  You know what to write.,YukiLoveChange(-2),
110,120,"(Write: ""I will be a good student."".)",,,
110,,(Scratch your butt.),Don't get lazy!  It's only beginning.,DialogRemove(),
120,,"(Write: ""I will be a good student."".)",TO DO,,
1000,,TO DO,TO DO,,
