Tag,Content
EventNaked,3000
EventUnderwear,3010
EventSchoolUniform,3020
EventBlackDress,3030
EventWhiteLingerie,3040
EventFullBondage,3100
EventRestrain,3110
EventGag,3120
EventRelease,3130
EventConfiscateKeys,3140
EventConfiscateCrop,3150
EventVibratingEgg,3160
EventBondageHug,3170
EventTickle,3200
EventMasturbate,3220
PunishmentGrounded,3910
PunishmentBelted,3920
PunishmentSpanked,3930
PunishmentSleepBoundAndGagged,3940
GaggedAnswer1,Noomgn mo gnom!
GaggedAnswer2,(Sie murmelt etwas in ihren|Knebel und kichert.)
GaggedAnswer3,Eeeph!
GaggedAnswer4,(Sie schaut dich fragend an.)
GaggedAnswer5,(Sie senkt ihren Kopf und schweigt.)
GaggedAnswer6,Aaac cgan niac mnaim.
GaggedAnswer7,Ommphm og ngo maoophh.
GaggedAnswer8,Mmmh! (Sie kämpft mit dem Knebel.)
AlreadyOwned,Mit Training und Disziplin ist alles möglich.|Aber du wirst deine Besitzerin fragen müssen.
UnrestrainFirst,Kannst du mich vorher befreien?
UnchasteFirst,Kannst du mir vorher mit diesem Gürtel helfen?
PlayerUncollarFirst,Mit Training und Disziplin ist alles möglich.|Aber erst musst du dieses Halsband abnehmen.
PlayerUnrestrainFirst,Mit Training und Disziplin ist alles möglich.|Aber erst musst du diese Fesseln loswerden.
GetOnYourKnees,"Also gut, ich könnte dich als meine Sklavin aufnehmen.|Als Erstes musst du auf deine Knie gehen."
ReleasePlayer,"Hier, lass mich dir helfen.|(Sie befreit dich.)"
ReleasePlayerGagged,Oohogm nagn momp.|(Sie befreit dich.)
ReleasePlayerFromBondageHug,"(Sie nickt.) Lass mich dir helfen, meine Sklavin.|(Sie befreit dich und widmet sich wieder ihren Notizen.)"
CannotReleasePlayer,(Sie zappelt in ihren Fesseln|und zuckt mit den Schultern.)
ActivityEndGood,"Genug davon. Es war wundervoll.|Merke dir, dass ich das jederzeit tun kann."
ActivityEndFair,"Genug davon. Es hat Spaß gemacht.|Merke dir, dass ich das jederzeit tun kann."
ActivityEndBad,"Genug. Ich hatte es mir anders vorgestellt.|Merke dir, dass ich das jederzeit tun kann."
MasturbatePlayerOrgasm,"Natürlich, Kleine, du bekommst deine Erlösung.|(Sie befriedigt dich zärtlich und lässt dich kommen.)"
ChangingIsBlocked,"Nein, meine Kleine, es ist dir nicht|erlaubt, deine Kleidung zu wechseln."
ReleaseBeforePunishNotNaked,"(Sie befreit und untersucht dich.)|Du wirst dich jetzt entkleiden, meine Sklavin."
ReleaseBeforePunishAlreadyNaked,"(Sie befreit und untersucht dich.)|Deine Bestrafung kann beginnen, Sklavin."
PunishSinceNaked,"Da du bereits nackt bist,|kann deine Bestrafung beginnen."
StillGrounded,"(Amanda ignoriert dich und prüft ihre Notizen.|Du musst warten, du hast noch Zimmerarrest.)"
StillGroundedByOther,"Tut mir leid, ich kann dir nicht helfen. Regeln sind Regeln.|(Du musst warten, du hast noch Zimmerarrest.)"
CantFindRestrain,"(Sie findet in deinen Sachen offenbar nicht,|wonach sie sucht.) Schade, meine Kleine."
CantFindRestrainForHug,"(Sie gibt auf, deine Sachen zu durchsuchen.)|Ich kann dich nicht fesseln, aber ich umarme dich trotzdem."
SpankPlayer1,"(Du bückst dich vor den Tisch und sie haut|dich leicht.) Sei stark, meine Kleine."
SpankPlayer2,(Sie hebt ihre Hand und schlägt auf eine andere Stelle.)|Das ist nur zu deinem Besten.
SpankPlayer3,"(Sie hebt ihren Arm in die Höhe und landet einen|starken, schmerzhaften Klaps.) Harre aus."
SpankPlayer4,(Sie schlägt dich von der anderen Seite und|trifft ein frisches Stück Po.) Ich bin für dich da.
SpankPlayer5,(Sie holt weiter aus als vorher. Sie trifft|dich heftig und färbt deinen Hintern rot.)
SpankPlayer6,(Sie nimmt wieder die andere Seite und haut|ziemlich doll auf dieselbe Stelle.) Lerne Disziplin.
SpankPlayer7,(Sie haut überraschend schnell erneut zu und|lässt dich aufschreien.) Lerne Gehorsamkeit.
SpankPlayer8,"(Sie streichelt deinen Hintern und lässt sich Zeit,|bevor sie kräftig zuhaut.) Ich bin stolz auf dich."
SpankPlayer9,(Sie nimmt wieder die andere Seite und haut|richtig doll auf dieselbe Stelle.) Erkenne deinen Rang.
SpankPlayer10,"(Sie begutachtet lächelnd deinen Hintern und schlägt|auf die schlimmste Stelle.) Lerne, Regeln zu befolgen."
SpankPlayer11,(Sie streichelt deinen Hintern und lässt schnell|für einen heftigen Schlag los.) Bleib stark.
SpankPlayer12,"(Sie holt tief Luft und schlägt mit voller Kraft zu,|was dich zum Weinen bringt.) Gutes Mädchen."
Crop,(Du haust ihr mit deiner Gerte auf den Hintern.)|Au! Das tut echt weh. Bitte lass das.
CropFromMistress,"(Du haust ihr mit deiner Gerte auf den Hintern.)|Das tut sehr weh, Herrin. (Sie wimmert.)"
CropWhileGagged,(Du haust ihr mit deiner Gerte auf den Hintern|und sie wimmert und heult ein wenig.)
RefuseBondage,(Amanda sieht deinen Gegenstand und wehrt ab.)|Was genau hast du denn da vor?
TurnTables,(Amanda dreht schnell den Spieß um und setzt|deine Fesseln gegen dich ein.) Das war lustig!
TurnTablesFromMistress,"Du suchst also Ärger, meine kleine Sklavin?|(Amanda setzt deine Fesseln gegen dich ein.)"
AcceptChange,Also gut. Was sollte ich anziehen?
AcceptChangeFromLover,"Ja, Liebes. Was würdest du denn gern sehen?"
AcceptChangeFromMistress,"Ja, Herrin. Was soll ich anziehen?"
NoNeedToChange,(Sie kichert.) Das war einfach.
Rope,"(Sie wird rot und stöhnt, als du das Seil um|ihren Körper wickelst und fest verknotest.)"
TwoRopes,"(Du nimmst ein zweites Seil und zwingst sie|auf die Knie, indem du ihre Beine fesselst.)"
ThreeRopes,"(Mit einem dritten Seil bindest du ihre Arme an ihre|Beine, sodass sie in einer seltsamen Position dasitzt.)"
Armbinder,"(Sie wird rot und steckt langsam ihre Arme in den|Handschuh, den du fest zuschnallst und verschnürst.)"
Cuffs,(Sie nimmt ihre Arme nach hinten und du ergreifst|und sicherst sie mit den Handschellen.)
BallGag,"(Sie öffnet zögernd den Mund, sodass du den|Ball hineinstecken und festschnallen kannst.)"
TapeGag,"(Sie schließt zögernd den Mund, sodass|du sie mit Klebeband knebeln kannst.)"
ClothGag,"(Sie öffnet zögernd den Mund, sodass du die|Füllung hineinstecken und festbinden kannst.)"
CuffsKey,"(Sie sieht den Schlüssel und dreht sich|um, damit du sie freilassen kannst.)"
VibratingEgg,"(Sie sieht das Ei und wirkt äußerst nervös.|Sie holt tief Luft, als du es hineinsteckst.)"
ChastityBelt,"(Beim Anblick des Gürtels gerät sie in Panik,|aber du schließt ihn zu, während sie wimmert.)"
Collar,"(Du brauchst +20 Dominanz und eine vollständige|Einwilligungsrede, um ihr ein Halsband anzulegen.)"
CollarToEnslave,"(Du brauchst ein Halsband,|um jemanden zu versklaven.)"
EnslaveAlreadyTried,"Diese Diskussion hatten wir schon.|Ihr Halsband ist nichts für mich, Miss."
AcceptCollar,"Ja, Miss. Ich nehme Ihr Halsband an.|Ich werde eine treue Untergebene sein."
CannotActWhileRestrained,(Sie kichert und zerrt verspielt an ihren Fesseln.)
CannotBeDoneWhileRestrained,"(Das kannst du nicht tun, solange du gefesselt bist.)"
NakedForBelt,"(Amanda muss nackt sein, bevor du ihr|einen Keuschheitsgürtel anlegen kannst.)"
OrgasmFromAmandaPleasure,(Amanda steckt liebevoll ihre Zunge in dich hinein.|Du zitterst und stöhnst von einem tollen Orgasmus.)
PleasureFromAmandaNoProgress,"(Amanda versucht dich oral zu befriedigen,|aber ihr Rhythmus bringt dich nicht voran.)"
KissAmandaOwner,(Du stützt dich auf ein Knie und|küsst die Hand deiner Herrin.)
KissAmandaGagged,(Du küsst ihren Knebel und sie kichert.)
KissAmandaSeduction,(Du küsst sie leidenschaftlich und sie antwortet|mit ihrer Zunge und einem langen Stöhnen.)
StartMasturbateAmanda,(Du gehst nah an Amanda heran und|streichelst zärtlich ihren Körper.)
