Tag,Content
StealKeys,¡Idiota!  (Coge la llave de tus esposas y se ríe.)
BallGagWilling,(Toma una bocanada de aire y abre|la boca para la mordaza.)
BallGagReluctant,(Cierra la boca para impedírtelo|pero consigues ponerle la mordaza.)
BallGagRefuse,Te empuja y se niega a ser amordazada.|(Necesitas 2 de sumisión o más para amordazar a Sidney.)
CuffsReplaceRope,(Desaces los nudos para que se pueda liberar|pero la esposas justo después.)
CuffsWilling,"(Inclina su cabeza, se sienta y pone|sus brazos hacia atrás para ser esposada.)"
CuffsReluctant,(Te empuja pero eres capaz de|reducirla y ponerla las esposas.)
CuffsRefuse,Te empuja y se niega a ser esposada.|(Necesitas 2 de sumisión o más para esposar a Sidney.)
CuffsUnlock,(La quitas las esposas|y parece agradecida.)
RopeReplaceCuffs,"(La quitas las esposas,|y la haces un arnés de cuerda.)"
RopeWilling,"(Inclina su cabeza y se desviste|haces un arnés de cuerda mientras la da un escalofrío.)"
RopeReluctant,(Luchas con ella para desnudarla|y la haces un arnes de cuerda mientras se resiste.)
RopeRefuse,Te empuja y se niega a ser atada.|(Necesitas 2 de sumisión o más para atar a Sidney.)
CropGagged,(Golpeas a Sidney un par de veces con la fusta.|Se queja y te mira enfadada.)
Crop,(Golpeas a Sidney un par de veces con la fusta.)|¡Que te follen!  ¿Eso es lo mejor que puedes hacer?
