PlayerGagged,,,Cute gag.  It might be hard to communicate though.,,,IntroGag,
PlayerGagged,,,Your gag is fucking hot!  Gags are such a turn on for me.,,,IntroGag,Rude|Horny
PlayerGagged,,,Everything is quieter with a gag.  There should be a law in that all subs should be gagged.,,,IntroGag,Dominant|Peaceful
PlayerGagged,,,We can try to have a gagged conversation Miss.,,,IntroGag,Dumb|Submissive
PlayerGagged,,,The best gags are the harness ball gag and panel gag.  They hurt the jaw but are the most effective.,,,IntroGag,Violent|Wise
PlayerGagged,,,"A Mistress once said: ""If you have nothing interesting to say, then silence will be enforced on you.""",,,IntroGag,Serious|Polite
ItemMouth,,,(She doesn't resist much as you silence her with the gag.),,,ItemMouth,
ItemMouth,,,(She trashes her head to avoid the gag but surrenders as you insist.),,,ItemMouth,Dominant|Violent
ItemMouth,,,(She bows her head and presents her mouth so you can gag her easily.),,,ItemMouth,Submissive|Serious
ItemMouth,,,Wait!  You don't...  (You silence her with a gag as she was trying to speak.),,,ItemMouth,Playful|Dumb
RemoveItemMouth,,,(You remove her gag and she smiles.)  Thanks!  It will be easier to communicate now.,,,RemoveItemMouth,
RemoveItemMouth,,,(You remove her gag and she stretches her jaw.)  Gags are stupid.,,,RemoveItemMouth,Dominant|Dumb
RemoveItemMouth,,,(You remove her gag and she licks her lips.)  Do you have anything else for my mouth?,,,RemoveItemMouth,Submissive|Horny
RemoveItemMouth,,,"(You remove her gag and she shakes her head.)  Gags have one advantage, you don't have to use your mouth on anything else.",,,RemoveItemMouth,Frigid|Wise
ItemArms,,,(She turns around so you can restrain her.)  It won't be easy to escape.,,,ItemArms,
ItemArms,,,(She screams as you restrain her arms.)  It hurts damn it!  Be more careful!,,,ItemArms,Dominant|Rude
ItemArms,,,"(She tugs really hard on her restraints, almost hurting herself, and moans.)  This feels sooooo good.",,,ItemArms,Submissive|Violent
ItemArms,,,"(She struggles for fun but allows you to restrain her.)  Bondage is so much fun, it's better than sex.",,,ItemArms,Playful|Frigid
RemoveItemArms,,,"(You free her arms and she stretches her arms.)  Thanks, that was not very comfy.",,,RemoveItemArms,
RemoveItemArms,,,"(You free her arms as she cracks her fingers.)  You've did a good job, but I could do better.",,,RemoveItemArms,Dominant|Serious
RemoveItemArms,,,"(You free her arms and she nods slowly.)  Thanks a lot Miss, you seem to have lots of experience in the fine art of bondage.",,,RemoveItemArms,Submissive|Polite
RemoveItemArms,,,"(You free her arms and she shakes them.)  Thanks, I was getting ants in there.  Go away ants!",,,RemoveItemArms,Playful|Dumb
ItemLegs,,,"(She stands still as you restrain her legs.)  Well done, this is effective.",,,ItemLegs,
ItemLegs,,,(She grumbles as you restrain her legs.)  Be careful on how high you go girl.,,,ItemLegs,Dominant|Frigid
ItemLegs,,,(She blushes as you restrain her legs.)  No bondage is truly complete until you restrain the thighs.,,,ItemLegs,Submissive|Wise
ItemLegs,,,"(She wiggles her butt as you restrain her legs.)  The higher you go, the kinkier it gets!",,,ItemLegs,Playful|Horny
RemoveItemLegs,,,(You slowly release her legs.)  It will be easier to keep my balance now.,,,RemoveItemLegs,
RemoveItemLegs,,,"(You release her legs as she nods.)  Thighs bondage isn't necessary, it's mostly used for beauty and aesthetic.",,,RemoveItemLegs,Dominant|Polite
RemoveItemLegs,,,"(You release her legs as she sighs.)  Miss you can strap anything on my legs, or between my legs.",,,RemoveItemLegs,Submissive|Horny
RemoveItemLegs,,,(She struggles to keep her balance as you release her legs.)  Woah shit!  I almost fell on my bum.,,,RemoveItemLegs,Dumb|Rude
ItemFeet,,,(You restrain her feet as she nods.)  I won't be going away soon I guess.,,,ItemFeet,
ItemFeet,,,(She tries to look down as you restrain her feet.)  You wanna make sure I don't run babe?,,,ItemFeet,Dominant|Rude
ItemFeet,,,"(She giggles as you restrain her feet.)  Please be careful Miss, I'm afraid I might fall.",,,ItemFeet,Submissive|Peaceful
ItemFeet,,,"(She stands on her toes as you restrain her feet.)  Bondage looks better in high heels, even if it hurts my feet.",,,ItemFeet,Violent|Playful
RemoveItemFeet,,,"(She regains her balance as you free her feet.)  Thanks, this is easier.",,,RemoveItemFeet,
RemoveItemFeet,,,(She gains a firm balance as you release her feet.)  Much better!  It's a good thing that we women have a lower center of gravity.,,,RemoveItemFeet,Dominant|Wise
RemoveItemFeet,,,"(You release her feet and she wiggles them.)  I love feet bondage, you can also whip and tickle them if you want.",,,RemoveItemFeet,Submissive|Violent
RemoveItemFeet,,,"(You release her feet as she nods slowly.)  Thanks, it was awkward and uncomfortable to be forced like that.",,,RemoveItemFeet,Serious|Peaceful
ItemNeck,,,"(You strap the collar on her as she nods.)  Don't worry, I can breathe fine.",,,ItemNeck,
ItemNeck,,,"(You fasten the collar around her neck as she grumbles.)  Girl, collars are not toys, but serious symbols.  Do not play with them.",,,ItemNeck,Dominant|Serious
ItemNeck,,,(You strap the collar on her as she blushes.)  Is there a hidden message there?  (She giggles.),,,ItemNeck,Submissive|Playful
ItemNeck,,,"(She adjusts her neck to her new collar.)  You can choke me with it if you want, but always check on my well being.",,,ItemNeck,Violent|Wise
RemoveItemNeck,,,(You remove the collar fastened around her neck.)  This is better!,,,RemoveItemNeck,
RemoveItemNeck,,,(You remove the collar as she nods.)  This collar isn't for me yo.  Find another bitch.,,,RemoveItemNeck,Dominant|Rude
RemoveItemNeck,,,"(You remove the collar from her neck.)  Miss, please don't toy with my emotions with collars, this is a strong BDSM symbol.",,,RemoveItemNeck,Submissive|Serious
RemoveItemNeck,,,(You unfasten the collar from her neck.)  Collars are protective for submissives.  It politely tells Dominants to keep their hands away.,,,RemoveItemNeck,Frigid|Polite
ItemPelvis,,,(She shakes her head as you lock the belt on her.)  That's no fun!,,,ItemPelvis,
ItemPelvis,,,(You lock the belt on her as she panics and trashes in vain to make it slip.)  Big mistake girl!,,,ItemPelvis,Dominant|Violent
ItemPelvis,,,(She almost cries as you lock the belt around her waist.)  This is cruel Miss!  How can I relieve myself now?,,,ItemPelvis,Submissive|Horny
ItemPelvis,,,(She seems very calm as you lock the belt.)  I don't mind at all.  This item is a shield against rape and unwanted hands.,,,ItemPelvis,Frigid|Peaceful
RemoveItemPelvis,,,"(You unlock the device from her waist, and she nods.)  That belt was kind of cruel.",,,RemoveItemPelvis,
RemoveItemPelvis,,,(She nods as you unlock the belt from her.)  This device wasn't intended for me.  I don't need shelter from myself or from others.,,,RemoveItemPelvis,Dominant|Polite
RemoveItemPelvis,,,"(You unlock the belt as she sighs.)  Miss, will you lock the belt again soon?  I love the sex protection and it reminds me of my place.",,,RemoveItemPelvis,Submissive|Frigid
RemoveItemPelvis,,,"(She seems relived as you remove the device.)  Oh, hell yeah!  I need to fuck now.",,,RemoveItemPelvis,Rude|Horny
ItemHead,,,(You strap the item on her head as she sighs.)  Please don't leave me like that for too long.,,,ItemHead,
ItemHead,,,(She trashes her head and tries to avoid the item but you're able to strap it on her.),,,ItemHead,Dominant|Violent
ItemHead,,,(She takes a deep breath as you strap the device on her head.)  I'm totally under your control Miss.,,,ItemHead,Submissive|Serious
ItemHead,,,(You strap the item on her head as she laughs.)  Oh shit!  This is fucking kinky.,,,ItemHead,Playful|Rude
RemoveItemHead,,,(You remove the device from her as she hums a song.)  Thanks!  I appreciate.,,,RemoveItemHead,
RemoveItemHead,,,(She looks around as you remove the device.)  That's better.  Now let's find a sub and we can use this kinky item it on her.,,,RemoveItemHead,Dominant|Playful
RemoveItemHead,,,(You remove the device from her as she nods happily.)  Thanks Miss!  I was getting claustrophobic.,,,RemoveItemHead,Submissive|Peaceful
RemoveItemHead,,,"(She looks at you as you remove the item.)  Thanks a lot, devices such as these can trigger scotophobia on submissives.",,,RemoveItemHead,Wise|Polite
