SyncWithServer,"Synchronizing with server, please wait..."
RescueIsComing,A rescue maid is coming...
IntroductionClass,Introduction Class
MaidQuarters,Maid Quarters
ShibariDojo,Shibari Dojo
KidnapLeague,Kidnappers League
PrivateRoom,Private Room
ClubManagement,Club Management
Gambling,Gambling by git4nick
Prison,Prison by git4nick
Photographic,Photographic by git4nick
Stable,Stable by git4nick
Nursery,The Nursery by wildsj
SlaveMarket,Slave Market by wildsj
RandomKidnap,Look for trouble
RandomKidnap1,by fleisch11
