Tag,Content
SarahChooseWhiteKnight,"Sarah: ""Ich bekenne Liebe dem weißen Helden.""|Amanda starrt dich mit einem breiten Grinsen an."
SarahChooseWhiteKnightRestrained,"Sarah: ""Ich bekenne Liebe dem weißen Helden.""|Amanda fesselt sie geschwind und sieht dich an."
SarahChooseBlackKnight,"Sarah: ""Ich bekenne Liebe dem schwarzen Recken.""|Der schwarze Ritter lächelt und übernimmt die Führung."
AmandaRestrainPlayer,Amanda springt herbei und fesselt dich.|Sie wendet sich dann bedrohlich dem Helden zu.
AmandaReleaseForKiss,Amanda lässt Sarah eilig frei und sie zieht sich an.|Sie beschließen das Stück mit einem liebevollen Kuss.
VillainRope,"(Du reißt ihr überraschend das Kleid vom Körper.|Bevor sie reagieren kann, fesselst du sie.)"
Crop,(Du schlägst sie ziemlich doll und sie bebt|genüsslich. Es scheint ihr sehr zu gefallen.)
Rope,"(Du wickelst das Seil um ihren Körper,|wodurch sie erregt schaudert.)"
TwoRopes,(Du zwingst sie auf die Knie und|wickelst ein zweites Seil um ihre Beine.)
Armbinder,"(Du stülpst ihre Arme in den Monohandschuh|und ziehst und bindest ihn fest.)"
Cuffs,(Sie zieht sich aus und nimmt ihre Hände wie von|Natur aus für die Handschellen hinter den Rücken.)
BallGag,"(Sie sieht den Knebel und macht schnell den Mund|auf, damit du ihn hineinstecken und befestigen kannst.)"
TapeGag,"(Sie schließt ihren Mund, damit|du ihn einfacher zukleben kannst.)"
ClothGag,(Du drückst langsam die Füllung in ihren Mund|und wickelst ihr den Knebel um den Kopf.)
CuffsKey,"(Sie versucht dir das Aufschließen|zu erschweren, aber es gelingt dir.)"
VibratingEgg,"(Sie nickt fröhlich, als du|das vibrierende Ei einführst.)"
ChastityBelt,"(Sie sieht den Gürtel panisch an, akzeptiert|aber missmutig, dass du ihn befestigst.)"
Collar,"(Du brauchst +20 Dominanz und eine Zeremonie,|um einer Schülerin ein Halsband anzulegen.)"
Orgasm,(Sie stöhnt rasch und erlangt mitten auf der|Bühne einen lauten und tosenden Orgasmus.)
MasturbateChaste,"(Du bekommst kaum einen Finger unter den Gürtel.|Er ist zu eng, um sie befriedigen zu können.)"
