Tag,Content
SarahChooseWhiteKnight,"Sarah : ""Je proclame mon amour envers le héros|blanc."" Amanda te regarde avec un grand sourire."
SarahChooseWhiteKnightRestrained,"Sarah : ""Je proclame mon amour envers le héros|blanc."" Amanda l'attache rapidement et te regarde."
SarahChooseBlackKnight,"Sarah : ""Je proclame mon amour envers le champion|noir."" Le chevalier noir sourit et prend la parole."
AmandaRestrainPlayer,Amanda se jette sur toi et t'attache. Elle se tourne|ensuite vers le héros avec un regard menaçant.
AmandaReleaseForKiss,Amanda se précipite pour libérer Sarah et elle|se rhabille. Elles terminent par un beau baiser.
VillainRope,"(Tu la surprends et lui enlèves sa robe puis avant|qu'elle ne puisse réagir, tu l'attaches solidement.)"
Crop,"(Tu lui donnes un bon coup, elle tremble|de plaisir. Elle a l'air d'aimer ça.)"
Rope,(Tu enroules la corde autour de son corps|pendant qu'elle frissonne de plaisir.)
TwoRopes,(Tu la forces à s'agenouiller et lui attaches|une deuxième corde autour de ses jambes.)
Armbinder,"(Tu glisses ses bras dans le foureau|de cuir, les sangles et serres les lacets.)"
Cuffs,(Elle se déshabille et met ses mains naturellement|derrière son dos pour que tu puisses la menotter.)
BallGag,(Elle voit le bâillon et ouvre rapidement la bouche|pour que tu puisses y mettre la boule et la sangler.)
TapeGag,(Elle ferme sa bouche pour que tu puisses|lui mettre le ruban plus facilement.)
ClothGag,(Tu pousses lentement la ouate dans sa bouche|et enroules le bâillon autour de sa tête.)
CuffsKey,"(Elle essaye de faire en sorte que ce soit plus difficile|pour toi de la libérer, mais tu parviens à le faire.)"
VibratingEgg,(Elle hoche joyeusement la tête pendant|que tu glisses l'oeuf vibrant à l'intérieur.)
ChastityBelt,"(Elle panique quand elle voit la ceinture, mais|elle se résigne quand tu la verrouilles sur elle.)"
Collar,"(""+20"" en soumission ou plus et une cérémonie spéciale|sont nécéssaire pour faire porter un collier à une élève.)"
Orgasm,(Elle gémit rapidement et a un orgasme|bruyant et bouleversant sur scène.)
MasturbateChaste,(Tu peines à glisser un doigt sous la ceinture|mais c'est trop serré pour la satisfaire.)
