Tag,Content
AmandaSarah1,Amanda und Sarah lassen dich frei und gehen davon.
AmandaSarah2,Du kannst sie immer noch über das Geschehene lachen hören.
AmandaSarah3,"Du hast eine Stunde verpasst, komm besser pünktlich zur nächsten."
AmandaSarahGood1,Die Glocke läutet erneut und du begibst dich zu deiner nächsten Stunde.
AmandaSarahGood2,Du lächelst angesichts Amandas und Sarahs vereitelter Rache.
AmandaSarahGood3,"Du hast vielleicht eine Stunde verpasst, aber das war es wert."
SidneyJennifer1,Sidney und Jennifer lassen dich frei und gehen davon.
SidneyJennifer2,"Du siehst, wie sie sich ein High five geben."
SidneyJennifer3,"Du hast eine Stunde verpasst, komm besser pünktlich zur nächsten."
SidneyJenniferGood1,Die Glocke läutet erneut und du begibst dich zu deiner nächsten Stunde.
SidneyJenniferGood2,Du lächelst angesichts Sidneys und Jennifers vereitelter Rache.
SidneyJenniferGood3,"Du hast vielleicht eine Stunde verpasst, aber das war es wert."
