Tag,Content
NoCrime1,"Die Glocke läutet erneut, die Kunststunde ist vorüber."
NoCrime2A,Du wirst endlich befreit und ziehst dich wieder an.
NoCrime2B,"Du verlässt deine Pose und setzt dich hin, um dich kurz zu erholen."
NoCrime2C,Du vollendest dein Bild und gibst es Julia.
NoCrime3,"Deine nächste Stunde beginnt um 10:30 Uhr, sei besser nicht zu spät."
Crime1,"Die Glocke läutet erneut, die Kunststunde ist vorüber."
Crime2A,Du wirst endlich befreit und ziehst dich wieder an.
Crime2B,"Du verlässt deine Pose und setzt dich hin, um dich kurz zu erholen."
Crime2C,Du vollendest dein Bild und gibst es Julia.
Crime3A,"Als du den Raum verlässt, wartet Mildred auf dich."
Crime3B,"Als du den Raum verlässt, wartet Yuki auf dich."
Crime4,"Sie sagt nichts, ergreift aber wütend deinen Arm."
Crime5,"Sie bringt dich nach unten in den Keller, wo niemand hingeht."
