Tag,Content
"Easy	",简单
"Normal	",普通
"Hard	",困难
"Impossible	",不可能
"Struggle0	",快速连点被束缚住的位置，尝试挣扎出来
Struggle1,快速连点被束缚住的位置，尝试挣扎出来
"Struggle2	",想办法离开牢房
"Struggle3	",想办法解开身上的束缚
"Legs	",挣扎着去伸手去解腿上的绳结！
"LegsSuccess	",你做到了！你解开了自己的腿！
"Crotch	",摩擦股绳刺激你自己！
"CrotchSuccess1	",跳蛋和股绳一起给了你一个甜蜜的高潮。
"CrotchSuccess2	",股绳给你的感觉很好但这不足以让你高潮。
"ArmsImpossible	",努力挣扎解开自己的手臂！
"CollarImpossible	",努力挣扎解开项圈！
"BallGagImpossible	",努力挣扎吐出口球！
"Collar	",努力挣扎用脚解开项圈！
"CollarSuccess	",你做到了！项圈被解开了！
"PickLock	",努力去解除门锁！
"PickLockSuccess	",做得好！你可以离开了！
"CutRope	",努力挣扎弄断绳子！
"CutRopeSuccess	",你做到了！你可以离开禁闭室了！
