Tag,Content
Easy,Einfach
Normal,Normal
Hard,Schwierig
Impossible,Unmöglich
Struggle0,"Klicke schnell auf einen Teil deiner Fesseln, um dich freizukämpfen."
Struggle1,"Klicke schnell auf einen Teil deiner Fesseln, um dich freizukämpfen."
Struggle2,Finde einen Weg aus der Zelle.
Struggle3,Finde einen Weg in die Freiheit.
Legs,"Versuche, die Knoten an deinen Beinen zu lösen!"
LegsSuccess,Geschafft! Deine Beine sind frei!
Crotch,Mit dem Schrittseil stimulieren!
CrotchSuccess1,Zusammen mit dem Ei gibt dir das Schrittseil einen schönen Orgasmus.
CrotchSuccess2,"Das Seil ist sehr angenehm, aber es reicht nicht für einen Orgasmus."
ArmsImpossible,Kämpfe deine Arme frei!
CollarImpossible,"Versuche, das Halsband zu zerreißen!"
BallGagImpossible,"Versuche, den Knebel auszuspucken!"
Collar,Öffne das Halsband mit deinem Fuß!
CollarSuccess,Geschafft! Das Halsband ist offen.
PickLock,Das Schloss knacken!
PickLockSuccess,Gut gemacht! Du kannst die Zelle verlassen.
CutRope,Das Seil durchtrennen!
CutRopeSuccess,Geschafft! Du kannst aus der Isolation entkommen.
