Tag,Content
Outro1,"Der Tag ist vorüber. Es wird Zeit, dich aufs Ohr zu hauen."
Outro1Bondage,Der Tag ist vorüber. Du schläfst heute in Fesseln.
Outro1Lover,Der Tag ist vorüber. Du schläfst in den Armen deiner Geliebten ein.
Outro1Isolation,Der Tag ist vorüber. Du schläfst heute in Isolation.
Outro2,Dein Abenteuer im Bondage-College ist beendet.
Outro3,"Das Spiel ist fürs Erste vorbei, hoffentlich hattest du Spaß."
Outro4,"In Zukunft könnte es möglich werden, das Spiel fortsetzen."
Outro5,Ende
CreditTypeDevelopers,Entwickler
CreditTypeTranslators,Übersetzer
CreditTypeSupport,Unterstützer
CreditTypePatrons,Sponsoren
CreditTypeFans,Und ein riesiges Danke an die Fans!
SleepBoundAndGagged0,"Es ist Zeit fürs Bett. Deine Herrin will, dass du nackt schläfst."
SleepBoundAndGagged1,"Du legst dich aufs Bett, während sie einen Monohandschuh aus Leder holt."
SleepBoundAndGagged2,"Sie schnallt ihn sorgsam zu und stellt sicher, dass du dich nicht befreien kannst."
SleepBoundAndGagged3,Danach holt sie einen flachen Maulkorb mit einem Plastikpenis auf der Innenseite.
SleepBoundAndGagged4,"Sie schnallt den Knebel fest und zwingt dich, daran zu lutschen."
SleepBoundAndGagged5,Sie gibt dir einen spielerischen Klaps auf|den Hintern und schaut wieder in ihre Tasche.
SleepBoundAndGagged6,"Sie holt eine dicke Augenbinde heraus und legt|sie dir um den Kopf, sodass du nur wenig siehst."
SleepBoundAndGagged7,"Sie flüstert: ""Gute Nacht"", zieht sie dir über|die Augen und überlässt dich der Dunkelheit."
