Tag,Content
JenniferStrips,"(Sie wird rot und seufzt.) Ja, Miss.|(Sie zieht sich im Flur bis auf die nackte Haut aus.)"
FightVictorySidneyRun,(Sidney läuft davon und lässt Jennifer im Stich.)|Sidney? Bleib hier! Lass mich mit ihr nicht allein!
FightDefeatHallway,Wir haben dich geplättet! Jetzt komm mit|uns nach draußen und mach keinen Ärger.
CropJennifer,(Du schlägst sie ziemlich doll und sie kauert|und wimmert. Es scheint ihr nicht zu gefallen.)
BallGag,"(Sie wehrt sich gegen den Ball, aber du steckst|ihn in ihren Mund und schnallst ihn fest.)"
TapeGag,"(Sie wehrt sich gegen das Band, aber es|gelingt dir, ihren Mund zuzukleben.)"
ClothGag,"(Sie presst die Zähne zusammen, aber du drückst|die Füllung hinein und bindest ihr den Knebel um.)"
VibratingEgg,"(Sie versucht deiner Hand auszuweichen,|aber es gelingt dir, das Ei hineinzustecken.)"
ChastityBelt,"(Beim Anblick des Gürtels zappelt sie|und wimmert, als du ihn ihr anlegst.)"
Collar,"(Du brauchst +20 Dominanz und eine Zeremonie,|um einer Schülerin ein Halsband anzulegen.)"
MasturbateJenniferOrgasm,(Sie verliert beim Zappeln plötzlich die Kontrolle|über sich und erlangt einen Orgasmus.)
MasturbateJenniferLove,"(Du befriedigst sie liebevoll, während|sie zittert und leise stöhnt.)"
MasturbateJenniferNoLove,"(Du befriedigst sie liebevoll, aber sie scheint|nicht in der richtigen Stimmung zu sein.)"
FightVictoryJenniferRun,"(Sidney erholt sich langsam, aber Jennifer ist fort.)|Jen? Wo zur Hölle bist du hin? Du feiges Huhn!"
FightDefeatTrack,"Dachtest du wirklich, du könntest uns beide|bekämpfen? Du solltest uns besser gehorchen."
SidneyUnderwear,Na schön! Bringen wir es schnell hinter uns.|(Sie zieht sich bis auf die Unterwäsche aus.)
CropSidney,"(Du schlägst sie ziemlich doll auf den Po. Sie gibt|sich Mühe, ihren Schmerz zu vertuschen.)"
SidneyPigTalk,(Sie holt tief Luft und ahmt ein Schwein nach.)|Oiiiiiiiiiinnkk! Oink! Oiiiinkk! 
MasturbateSidneyOrgasm,(Sie zappelt in ihren Fesseln und bricht in einem|tosenden Orgasmus am Boden zusammen.)
MasturbateSidneyEgg,"(Du befriedigst sie langsam, während|sie dich ansieht und leise stöhnt.)"
MasturbateSidneyNoEgg,"(Du befriedigst sie langsam, während|sie dich anstarrt und leise grummelt.)"
RaceGoal,"Du hast 10 Minuten, um Jennifer zu erreichen!"
RaceVictory,"(Jennifer wirkt vergnügt.) Glückwunsch,|COMMON_PLAYERNAME! Du hast es geschafft."
RaceDefeat,"(Jennifer wirkt enttäuscht.)|Du warst zu langsam, COMMON_PLAYERNAME."
