Tag,Content
AcceptToHelp,"C'est entendu, je vais t'aider.|Où l'as-tu fait tomber ?"
Annoyed,Ça suffit ! (Elle t'immobilise les bras et|te fait enfiler un fourreau de cuir.)
ReadyForOrgasm,(Elle tremble et gémit bruyamment.|Prête à avoir un orgasme.)
ReleaseFromHole,"(Tu l'aides à sortir, elle te regarde d'un air menaçant.)| Viens à mon bureau ! Maintenant !"
VibratingEggInHole,(Tu glisses un oeuf vibrant dans son vagin.)|Jeune fille ! Comment oses-tu ?
SleepingPillInHole,(Tu lui glisses un somnifère dans l'anus.)|Oh non ma petite demoiselle ! Pas ici !
ChastityBeltInHole,(Tu verrouilles la ceinture autour d'elle.)|Qu'est-ce que c'est que ça ? (Elle lutte férocement.)
DizzySleep,(Yuki a soudain le vertige.|Elle bâille bruyamment et lutte pour rester éveillée.)
RefuseHelp,"Je ne t'aiderai pas.|Va-t'en, jeune fille."
ItemWakeUp,(Tu essayes d'utiliser ton objet mais elle se réveille.)|Que s'est-il passé ? Je me suis endormie ?
GrabForPleasure,"(A peine entrée, Yuki te saisit par la chevelure et|s'assoit sur son bureau.) Par ici ma petite chienne !"
GrabForPleasureEgg,"(A peine entrée, Yuki te saisit par la chevelure et|s'assoit sur son bureau.) Vengeance pour l'oeuf !"
ForceEat,Tu n'iras nulle part avant d'avoir fini.|(Elle enlève son culotte et te tire vers elle.)
DeskOrgasm,(Elle tremble et ressere ses jambes contre ta tête.|Elle obtient un orgasme bouleversant.)
StopPleasure,"Ça suffit ma petite chienne, tu n'es pas à la hauteur.|(Elle te repousse et a l'air frustrée.)"
VibratingEggPleasure,"(Elle est si excitée qu'elle ne le remarque pas|que tu glisses un oeuf vibrant dans son vagin.)"
SleepingPillPleasure,"(Elle est si excitée qu'elle ne le remarque pas|que tu lui glisses un somnifère dans l'anus.)"
