Tag,Content
AcceptToHelp,"Nun gut, ich helfe dir.|Wo hast du ihn verloren?"
Annoyed,Das reicht! (Sie packt deine Arme und|stülpt eine Ledervorrichtung darüber.)
ReadyForOrgasm,(Sie zittert und stöhnt laut.|Sie steht kurz vor dem Höhepunkt.)
ReleaseFromHole,(Du ziehst sie ais dem Loch und sie sieht|dich erbost an.) Zu meinem Schreibtisch!
VibratingEggInHole,(Du schiebst ein vibrierendes Ei in ihre Vagina.)|Junge Dame! Wie kannst du es wagen?
SleepingPillInHole,"(Du steckst eine Schlaftablette in ihren Anus.)|Oh nein, junge Dame! Nicht da rein!"
ChastityBeltInHole,(Du umschließt ihre Hüfte mit dem Keuschheitsgürtel.)|Was hast du gerade gemacht? (Sie strampelt bitterlich.)
DizzySleep,(Yuki gerät plötzlich ins Taumeln. Sie gähnt|laut und kämpft gegen die Müdigkeit an.)
RefuseHelp,"Nein, ich helfe dir nicht.|Abmarsch, junge Dame."
ItemWakeUp,"(Bevor du etwas tun kannst, wacht sie auf.)|Was ist passiert? Bin ich eingeschlafen?"
GrabForPleasure,"(Als du eintrittst, packt Yuki dich an den Haaren und|setzt sich auf den Tisch.) Mein kleines Schoßhündchen!"
GrabForPleasureEgg,"(Als du eintrittst, packt Yuki dich an den Haaren und|setzt sich auf den Tisch.) Das ist für das Ei!"
ForceEat,"Du gehst nirgendwo hin, bis du fertig bist.|(Sie entfernt ihr Höschen und zieht dich näher ran.)"
DeskOrgasm,"(Sie zittert und drückt deinen Kopf, als du|ihr einen tosenden Orgasmus bescherst.)"
StopPleasure,"Das reicht, Kleines, du bist nicht gut genug.|(Sie drückt dich weg und wirkt frustriert.)"
VibratingEggPleasure,"(Du steckst ein vibrierendes Ei in ihre Vagina,|aber vor Aufregung bemerkt sie es gar nicht.)"
SleepingPillPleasure,"(Du steckst eine Schlaftablette in ihren Anus,|aber vor Aufregung bemerkt sie es gar nicht.)"
