Tag,Content
NoBondage,"Das sieht verlockend aus, aber wir brauchen|Julias Erlaubnis für diese Art von Spaß."
Rope,"(Sie schaudert und stöhnt, während du ihren|Oberkörper fesselst.) Das ist wundervoll."
BondageBeforeGag,"(Sie kichert und drückt deine Hand weg.)|Neineinein, du musst mich vorher fesseln."
BallGag,"(Sie öffnet hungrig ihren Mund, damit du den|Knebel an ihrem Kopf festschnallen kannst.)"
TapeGag,"(Sie schließt wohlwollend ihren Mund,|damit du ihn Problemlos zukleben kannst.)"
Crop,(Du schlägst sie ein paar Mal mit der Gerte.|Sie stöhnt und scheint ihren Spaß zu haben.)
VibratingEggWarning,"(Das Ei könnte verloren gehen, wenn du|es in Sarah einführst. Klicke erneut um es zu tun.)"
VibratingEggInsert,(Sarah sieht das Ei und und nickt fröhlich.|Du führst es ein und sie fängt willkürlich an zu stöhnen.)
TightenGagged,"(Du festigst die Knoten, während sie stöhnt|und viel Freude zu haben scheint.)"
Tighten,"(Du festigst die Knoten, während sie stöhnt.)|Mmmmhh, können wir uns nach der Schule treffen?"
TightenFail,"(Du versuchst Sarahs Fesseln enger zu ziehe,|scheiterst aber und die anderen Schülerinnen kichern.)"
PlayerRelease,"Ja, Miss. Jemand wie Sie sollte nicht gefesselt sein.|(Sie befreit dich aus deinen Fesseln.)"
PlayerGag,"Dir helfen? Ja! Ich weiß, was helfen könnte.|(Sie holt Klebeband und klebt deinen Mund zu.)"
NoTimeToPaint,"(Es ist nicht genug Zeit übrig,|um ein Kunstwerk zu schaffen.)"
