Title,LARP Battle Team Selection
SelectClass,Select your class:
SelectTeam,Select your team:
LevelProgress,Level (progress %):
ClassMatron,Matron
ClassSeducer,Seducer
ClassTrickster,Trickster
ClassServant,Servant
ClassArtist,Artist
ClassProtector,Protector
ColorNone,Not playing
ColorRed,Red
ColorGreen,Green
ColorBlue,Blue
ColorYellow,Yellow
ColorCyan,Cyan
ColorPurple,Purple
ColorOrange,Orange
ColorWhite,White
ColorGray,Gray
ColorBlack,Black
StartCondition,A room administrator can start the game if two teams or more are selected.
RunningGame,"The LARP game is running, you cannot change your class or team."
StartGame,Start the game
TimerDelay20,20 seconds turns
TimerDelay60,60 seconds turns
