Tag,Content
Alone1,Du stolzierst zuversichtlich durch die Gänge.
Alone2,Wegen Amanda und Sarah bist du ein bisschen spät dran.
Alone3,"Aber das war es wert, ihnen eine Lektion zu erteilen."
Locker1,Du läufst mit einem Feixen im Gesicht durch die Gänge.
Locker2,Wegen Amanda und Sarah bist du ein bisschen spät dran.
Locker3,"Aber das war es wert, sie ins Schließfach gezwängt zu sehen."
FightVictory1,Du läufst durch die Gänge und dehnst deine Muskeln.
FightVictory2,Wegen Amanda und Sarah bist du ein bisschen spät dran.
FightVictory3,"Aber das war es wert, sie beide im Kampf fertig zu machen."
DoubleLocker1,Du läufst mit einem breiten Grinsen im Gesicht durch die Gänge.
DoubleLocker2,Wegen Amanda und Sarah bist du ein bisschen spät dran.
DoubleLocker3,"Aber das war es wert, sie beide in die Schließfächer gezwängt zu sehen."
Bribe1,Du setzt deinen Weg durch die Gänge fort.
Bribe2,Leider fühlt sich deine Tasche etwas leichter an.
Bribe3,"Aber immer noch besser, als sie beide zu bekämpfen."
JenniferDog1,Du läufst mit einem Feixen im Gesicht durch die Gänge.
JenniferDog2,Leider fühlt sich deine Tasche etwas leichter an.
JenniferDog3,"Aber das war es wert, Jennifer wie eine Hündin zu fesseln."
SidneyJenniferFightVictory1,Du läufst durch die Gänge und dehnst deine Muskeln.
SidneyJenniferFightVictory2,Wegen Sidney und Jennifer bist du ein bisschen spät dran.
SidneyJenniferFightVictory3,"Aber das war es wert, sie beide im Kampf fertig zu machen."
JenniferFriend1,Du setzt deinen Weg durch die Gänge lächelnd fort.
JenniferFriend2,Zum Einen hast du Sidneys und Jennifers Racheplan vereitelt.
JenniferFriend3,Zum Anderen hast du mit Jennifer nun eine neue Freundin.
SidneyPig1,Du läufst mit einem Feixen im Gesicht durch die Gänge.
SidneyPig2,Wegen Sidney und Jennifer bist du ein bisschen spät dran.
SidneyPig3,"Aber das war es wert, Sidney wie ein Schweinchen zu fesseln."
TrackRun1,Du läufst durch die Gänge und verbirgst dein Gesicht mit den Händen.
TrackRun2,Sidney und Jennifer lachen wahrscheinlich gerade.
TrackRun3,"Du bist ziemlich spät dran, aber du könntest es noch schaffen."
