0,,,Greetings Miss.  Welcome to the Bondage Club.,
0,,Who are you?,I'm a new club member.  My name is Dialog_CharacterName.,Dialog_Remove()
0,10,What's going on here?,This is a BDSM club.  People come from all over the world to share their kinks.,
0,10,Tell me about the club.,The Bondage Club is pretty old.  People come from all over the world to share their kinks.,
0,,Why are you calling me Miss?,"It's protocol.  Most submissives will call strangers ""Miss"" or ""Sir"" to be polite.",Dialog_Remove()
0,,Can I tie you up?,"(She blushes a little.)  With pleasure Miss.  If you need help with restraints, you can ask our friendly maid here.",
0,,Will you tie me up?,"No Miss, I'm a submissive.  But our friendly maid here can help you with that.",
0,,"I need to go, take care.  (Leave her.)",,Dialog_Leave()
10,,So you're a kinky girl?,(She nods and blushes.)  Yes Miss.,Dialog_Remove()
10,20,What are you doing here?,I'm helping the maid staff to introduce newcomers to the club.,
10,,What is this room?,"This is the introduction class room, to learn about basic bondage.",Dialog_Remove()
20,,So you work for the club?,"Not yet, but I hope to become a maid someday.",Dialog_Remove()
20,30,Tell me about the maids.,The maids are the work force of the club.  They do everything from cleaning to releasing helpless victims.,
30,40,Can I become a maid?,"Absolutely, go to the maid meeting room and ask for a job.",
30,0,Thanks for the info.,It's my pleasure Miss.  Is there something else you would like to know?,
40,0,Thanks for the tip.,Maybe we'll work together someday.  Is there something else you would like to know?,
