0,,,"Hello there, welcome to the Bondage Club introduction class.",,
0,10,Thanks girl!  What's going on here?,"In here, you will learn how to restrain someone and escape by yourself.",ChangeMaidOpinion(1),
0,10,Introduction class?,"In this class, you will learn how to restrain someone and free yourself.",,
0,100,I don't need any introduction.,"Very well, would you like to practice with us then?",,
0,,I can't stay to chat.  (Leave her.),,Dialog_Leave(),
10,20,This is great!,I'm glad you like it.  First I will teach you about the body parts your can restrain.,,
10,20,It sounds kinky. (Blush a little.),It's kinky and fun.  First I will teach you about the body parts your can restrain.,ChangeMaidOpinion(-1),
10,15,Tell me about the club first.,The Bondage Club is a place for open minded adults to share their BDSM kinks.,,
10,,You're both a maid and a teacher?,We maids do a lot of work here.  You'll see with time.,Dialog_Remove(),
10,100,I already know that.,"Very well, would you like to practice with us then?",,
15,20,Fair enough.,Very well.  First I will teach you about the body parts your can restrain.,,
15,20,Awesome!,I'm glad you like it.  First I will teach you about the body parts your can restrain.,,
20,30,I'm listening.,There are eight body parts to interact with.  They restrict the victim differently.,,
20,30,Please tell me Miss.,There are eight body parts to interact with.  They restrict the victim differently.,ChangeMaidOpinion(-1),
20,30,"Alright, but make it quick.",There are eight body parts to interact with.  They restrict the victim differently.,ChangeMaidOpinion(1),
20,30,I already know that.,"Very well, would you like to practice with us then?",,
30,31,(Listen.),Restraining the feet will prevent your victim from moving away.,"SetZone(""ItemFeet"")",
31,32,(Listen.),Restraining the upper legs will still allow your victim to move but make kidnappings much easier.,"SetZone(""ItemLegs"")",
32,33,(Listen.),"On the pelvis region, you can use kinky toys, chastity devices or crotch ropes to tease your victim.","SetZone(""ItemPelvis"")",
33,34,(Listen.),"On the torso, you can do breast bondage or use harnesses, mostly for esthetics.","SetZone(""ItemTorso"")",
34,35,(Listen.),The arms can be restrained using many devices.  This will prevent your victim from using her hands.,"SetZone(""ItemArms"")",
35,36,(Listen.),You can use collars on your victim neck to leash them and walk them around.,"SetZone(""ItemNeck"")",
36,37,(Listen.),Collars are also used to enslave someone but you will learn about it in another class.,,
37,38,(Listen.),"You can use gags to silence your victim, making her unable to speak.","SetZone(""ItemMouth"")",
38,39,(Listen.),"Blindfolds, ear muffs or hoods can also be used to restrict view and hearing.","SetZone(""ItemHead"")",
39,40,(Listen.),"This is it, remember that your arms needs to be free to restrain someone.",ClearZone(),
40,100,Thanks for the info.,"My pleasure, now we can practice.  Would you prefer to restrain someone or be tied up yourself?",,
40,100,That makes sense.,"Of course, and now we can practice.  Would you prefer to restrain someone or be tied up yourself?",,
40,200,Can I strap you up now?,"Not me, but we have someone here who would certainly enjoy being your victim.",ChangeMaidOpinion(1),
40,100,Can we practice?,Absolutely.  Would you prefer to restrain someone or be tied up yourself?,,
40,300,Can you tie me up now?,I can certainly tie you up.  It's a good time to practice.,ChangeMaidOpinion(-1),
100,,,You can practice your bondage skills here.  Would you prefer to restrain someone or be tied up yourself?,,
100,200,I want to practice tying you up.,"You won't tie me up, but we have someone here who would certainly enjoy being your victim.",ChangeMaidOpinion(1),
100,200,Can I tie her up?,"Absolutely, you have the perfect candidate here to practice on.",ChangeMaidOpinion(1),
100,300,I want to practice freeing myself.,,ChangeMaidOpinion(-1),
100,,Who runs this club?,The Head Mistress is in charge.  You should go present yourself if you haven't done it.,Dialog_Remove(),
100,,Let's practice later.  (Leave her.),,Dialog_Leave(),
200,220,I can use my favorite restraints on her?,"Of course, use anything you want on her.  She's very submissive, she will enjoy it.",,HasBasicItems
200,210,Can I have some items to practice with?,"Use these beginers items, they are easy to use but also easy to struggle out from.",,!HasBasicItems
210,220,Thanks!  (Take the items.),(She gives you ropes for her arms and legs plus a basic cloth gag.),GetBasicItems(),
210,220,This is sweet.  (Take the items.),(She gives you ropes for her arms and legs plus a basic cloth gag.),GetBasicItems(),
220,230,I'll make it extra tight.,"Impressive.  Make sure to restrain her arms, her feet and to gag her.",ChangeMaidOpinion(1),
220,230,I'm ready!,"Wonderful.  Make sure to restrain her arms, her feet and to gag her.",,
220,230,I can do it now?,"Absolutely.  Make sure to restrain her arms, her feet and to gag her.",ChangeMaidOpinion(-1),
230,,,"Make sure to restrain her arms, her feet and to gag her.",,
230,,Very good.  (Leave her.),,Dialog_Leave(),
230,240,Tell me about the body parts I can restrain.,There are eight body parts to interact with.  They restrict the victim differently.,,
240,241,(Listen.),Restraining the feet will prevent your victim from moving away.,"SetZone(""ItemFeet"")",
241,242,(Listen.),Restraining the upper legs will still allow your victim to move but make kidnappings much easier.,"SetZone(""ItemLegs"")",
242,243,(Listen.),"On the pelvis region, you can use kinky toys, chastity devices or crotch ropes to tease your victim.","SetZone(""ItemPelvis"")",
243,244,(Listen.),"On the torso, you can do breast bondage or use harnesses, mostly for esthetics.","SetZone(""ItemTorso"")",
244,245,(Listen.),The arms can be restrained using many devices.  This will prevent your victim from using her hands.,"SetZone(""ItemArms"")",
245,246,(Listen.),You can use collars on your victim neck to leash them and walk them around.,"SetZone(""ItemNeck"")",
246,247,(Listen.),Collars are also used to enslave someone but you will learn about it in another class.,,
247,248,(Listen.),"You can use gags to silence your victim, making her unable to speak.","SetZone(""ItemMouth"")",
248,249,(Listen.),"Blindfolds, ear muffs or hoods can also be used to restrict view and hearing.","SetZone(""ItemHead"")",
249,230,(Listen.),"This is it, remember that your arms needs to be free to restrain someone.",ClearZone(),
